document,binary,passive_match(es),raw_passive_count,raw_passive_sents_count,raw_sentence_count,passive_sents_percentage,cola_passive_binary
The sailors rode the breeze clear of the rocks.,0,[],0,0,1,0.0,0
The weights made the rope stretch over the pulley.,0,[],0,0,1,0.0,0
The mechanical doll wriggled itself loose.,0,[],0,0,1,0.0,0
"If you had eaten more, you would want less.",0,[],0,0,1,0.0,0
"As you eat the most, you want the least.",0,[],0,0,1,0.0,0
"The more you would want, the less you would eat.",0,[],0,0,1,0.0,0
"I demand that the more John eat, the more he pays.",0,[],0,0,1,0.0,0
"Mary listens to the Grateful Dead, she gets depressed.",0,[],0,0,1,0.0,0
"The angrier Mary got, the more she looked at pictures.",0,[],0,0,1,0.0,0
"The higher the stakes, the lower his expectations are.",0,[],0,0,1,0.0,0
"The more Fred is obnoxious, the less attention you should pay to him.",0,[],0,0,1,0.0,0
John was lots more obnoxious than Fred.,0,[],0,0,1,0.0,0
"The more people you give beer to, the more people get sick.",0,[],0,0,1,0.0,0
"The more does Bill smoke, the more Susan hates him.",0,[],0,0,1,0.0,0
"The more pictures of him that appear in the news, the more embarrassed John becomes.",0,[],0,0,1,0.0,0
"Every senator seems to become more corrupt, as he talks to more lobbyists.",0,[],0,0,1,0.0,0
Who does John visit Sally because he likes?,0,[],0,0,1,0.0,0
Marianne did not leave.,0,[],0,0,1,0.0,0
He could not have been working.,0,[],0,0,1,0.0,0
He can not have been working.,0,[],0,0,1,0.0,0
You will believe Bob.,0,[],0,0,1,0.0,0
John has not kissed Mary.,0,[],0,0,1,0.0,0
I said that never in my life had I seen a place like Bangor.,0,[],0,0,1,0.0,0
Mickey looked up it.,0,[],0,0,1,0.0,0
There tended to be a lot of discussion.,0,[],0,0,1,0.0,0
John tried to be a good boy.,0,[],0,0,1,0.0,0
John is eager.,0,[],0,0,1,0.0,0
We want John to win.,0,[],0,0,1,0.0,0
The box contained the ball from the tree.,0,[],0,0,1,0.0,0
The tube was escaped by gas.,1,['was escaped'],1,1,1,1.0,1
Water bubbled up out of the kettle.,0,[],0,0,1,0.0,0
The tub leaked water.,0,[],0,0,1,0.0,0
What the water did to the bottle was fill it.,0,[],0,0,1,0.0,0
What the water did to the whole bottle was fill it.,0,[],0,0,1,0.0,0
The tank leaked the fluid free.,0,[],0,0,1,0.0,0
John lay the ball in the box.,0,[],0,0,1,0.0,0
John owns the book.,0,[],0,0,1,0.0,0
We persuaded Mary to leave and Sue to stay.,0,[],0,0,1,0.0,0
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0,[],0,0,1,0.0,0
Mary beautifully plays the violin.,0,[],0,0,1,0.0,0
"Clearly, John probably will immediately learn French perfectly.",0,[],0,0,1,0.0,0
Sue gave to Bill a book.,0,[],0,0,1,0.0,0
The men will all leave.,0,[],0,0,1,0.0,0
John went home.,0,[],0,0,1,0.0,0
They represented seriously to the dean Mary as a genuine linguist.,0,[],0,0,1,0.0,0
Us love they.,0,[],0,0,1,0.0,0
It is nice to go abroad.,0,[],0,0,1,0.0,0
Mary intended John to go abroad.,0,[],0,0,1,0.0,0
I remembered having kissed Mary.,0,[],0,0,1,0.0,0
"I can't believe Fred won't, either.",0,[],0,0,1,0.0,0
"John wants to read Fred's story, and I also want to.",0,[],0,0,1,0.0,0
"We wanted to invite someone, but we couldn't decide who to.",0,[],0,0,1,0.0,0
"Mary will read Fred's story, and Joe will read Holly's.",0,[],0,0,1,0.0,0
"Mary claimed that eating cabbage, Holly shouldn't.",0,[],0,0,1,0.0,0
Mary came to be introduced by the bartender and I also came to be.,1,['introduced by the bartender'],1,1,1,1.0,0
"If I can, I will work on it.",0,[],0,0,1,0.0,0
"Joe's neuroses bother his patrons, and Sally does too.",0,[],0,0,1,0.0,0
"I know which book JosÃ© didn't read for class, and which book Lilly did it for him.",0,[],0,0,1,0.0,0
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",0,[],0,0,1,0.0,0
"I know which book Mag read, and which book Bob said that you hadn't.",0,[],0,0,1,0.0,0
"I know which book Mag read, and which book Bob read my report that you hadn't.",0,[],0,0,1,0.0,0
I'm sure I would like him to eat fruit more than I would cookies.,0,[],0,0,1,0.0,0
Rusty talked about himself only after Mary did talk about him.,0,[],0,0,1,0.0,0
Fred talked about everything before Rusty did talk about something.,0,[],0,0,1,0.0,0
John often meets Mary.,0,[],0,0,1,0.0,0
The problem perceives easily.,0,[],0,0,1,0.0,0
A hundred men surrounded the fort.,0,[],0,0,1,0.0,0
We elected me.,0,[],0,0,1,0.0,0
Which report that John was incompetent did he submit?,0,[],0,0,1,0.0,0
Mary has always preferred lemons to limes.,0,[],0,0,2,0.0,0
He let the cats which were whining out.,0,[],0,0,1,0.0,0
What did Bill buy?,0,[],0,0,1,0.0,0
Mary saw the boy walking toward the railroad station.,0,[],0,0,1,0.0,0
A proof that the claim had been made was given that John had lied.,1,"['had been made', 'was given']",2,1,1,1.0,1
He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,1,['was caused'],1,1,1,1.0,1
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,0,[],0,0,1,0.0,0
I want that Bill left to remain a secret.,0,[],0,0,1,0.0,0
I know a man who Tom drives as drives.,0,[],0,0,1,0.0,0
"Drowning cats, which is against the law, are hard to rescue.",0,[],0,0,1,0.0,0
Muriel said nothing else than that she had been insulted.,1,['had been insulted'],1,1,1,1.0,1
Himself is understood by Rutherford.,1,['is understood'],1,1,1,1.0,1
I feel that Arch will show up.,0,[],0,0,1,0.0,0
The proof this set is recursive is difficult.,0,[],0,0,1,0.0,0
The madrigals which Henry plays the lute and sings sound lousy.,0,[],0,0,1,0.0,0
"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",0,[],0,0,1,0.0,0
Where did you go and who ate what?,0,[],0,0,1,0.0,0
Which boy's did we elect guardian's employer president?,0,[],0,0,1,0.0,0
How sane is Peter?,0,[],0,0,1,0.0,0
I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,0,[],0,0,1,0.0,0
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,0,[],0,0,1,0.0,0
Who is she trying to make up to now?,0,[],0,0,1,0.0,0
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,1,['was gotten'],1,1,1,1.0,1
Mike talked about politics yesterday to my friends.,0,[],0,0,1,0.0,0
It was expected by the reporters that the principal would fire some teacher.,1,['was expected'],1,1,1,1.0,1
Which hat did Mike quip that she never wore?,0,[],0,0,1,0.0,0
Which girl did Mike quip never wore this hat?,0,[],0,0,1,0.0,0
We donated wire for the convicts to build cages with.,0,[],0,0,1,0.0,0
I won't have some money.,0,[],0,0,1,0.0,0
Do you believe the claim that somebody was looking for something?,0,[],0,0,1,0.0,0
I won't ask you to believe that he tried to force me to give her any money.,0,[],0,0,1,0.0,0
That Sam sometimes didn't sleep must have pleased somebody.,0,[],0,0,1,0.0,0
I talked to Winston about himself.,0,[],0,0,1,0.0,0
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.",0,[],0,0,1,0.0,0
I'll work on it if Sam will be working on it.,0,[],0,0,1,0.0,0
I'll work on it if I can.,0,[],0,0,1,0.0,0
Here's a knife with which for you to cut up the onions.,0,[],0,0,1,0.0,0
"Fluffy is sick, which not everybody knows.",0,[],0,0,1,0.0,0
Maxwell is quite a doctor.,0,[],0,0,1,0.0,0
"The younger woman might have been tall and, and the older one definitely was, blond.",0,[],0,0,1,0.0,0
"Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.",0,[],0,0,1,0.0,0
I have to try to finish grading some papers.,0,[],0,0,1,0.0,0
The socks are ready for for you to put on to be planned.,1,['be planned'],1,1,1,1.0,0
It is easy to play sonatas on this violin.,0,[],0,0,1,0.0,0
This violin is difficult to play sonatas on.,0,[],0,0,1,0.0,0
My mother is easy to please my father and.,0,[],0,0,1,0.0,0
"Poor Bill, it had started to rain and he had no umbrella.",0,[],0,0,1,0.0,0
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0,[],0,0,1,0.0,0
"Every student, and he wears socks, is a swinger.",0,[],0,0,1,0.0,0
That girl was given my binoculars by him.,1,['was given'],1,1,1,1.0,1
Bill didn't allege that Roger had eaten anything.,0,[],0,0,1,0.0,0
Nobody who hates to eat anything should work in a delicatessen.,0,[],0,0,1,0.0,0
Everybody around here who ever buys anything on credit talks in his sleep.,0,[],0,0,1,0.0,0
I can't remember the name of somebody who had misgivings.,0,[],0,0,1,0.0,0
"No writer, and no playwright, meets in Vienna.",0,[],0,0,1,0.0,0
"No writer, nor any playwright, meets in Vienna.",0,[],0,0,1,0.0,0
That you will marry any student is not certain.,0,[],0,0,1,0.0,0
Felicia kicked the ball off the bench.,0,[],0,0,1,0.0,0
I sent the package halfway around the world.,0,[],0,0,1,0.0,0
Sam gave the ball out of the basket.,0,[],0,0,1,0.0,0
Sam offered the ball out of the basket.,0,[],0,0,1,0.0,0
Park Square has a festive air.,0,[],0,0,1,0.0,0
The worker will have a job.,0,[],0,0,1,0.0,0
No one can forgive that comment to you.,0,[],0,0,1,0.0,0
"We launched the rocket to the moon, but it blew up before it got there.",0,[],0,0,1,0.0,0
"Sarah promised Catherine her old car, but then gave it to her son instead.",0,[],0,0,1,0.0,0
I lent the book partway to Tony.,0,[],0,0,1,0.0,0
The farmer loaded the cart with apples.,0,[],0,0,1,0.0,0
The farmer dumped the cart with apples.,0,[],0,0,1,0.0,0
Martha carved the baby a toy out of wood.,0,[],0,0,1,0.0,0
The bread cuts easily.,0,[],0,0,1,0.0,0
Janet broke Bill on the finger.,0,[],0,0,1,0.0,0
Janet broke the cup.,0,[],0,0,1,0.0,0
The visitor rang the bell.,0,[],0,0,1,0.0,0
We pulled free.,0,[],0,0,1,0.0,0
That movie always shocks people.,0,[],0,0,1,0.0,0
That movie always shocks.,0,[],0,0,1,0.0,0
Sharon came the room.,0,[],0,0,1,0.0,0
Bill sent a package to Tom.,0,[],0,0,1,0.0,0
That acorn will grow into an oak tree.,0,[],0,0,1,0.0,0
He turned into a frog.,0,[],0,0,1,0.0,0
I mixed the sugar into the butter.,0,[],0,0,1,0.0,0
Brian threw the fence with the stick.,0,[],0,0,1,0.0,0
Mira condemned Terry for the accident.,0,[],0,0,1,0.0,0
We investigated the area for bombs.,0,[],0,0,1,0.0,0
I sensed his eagerness.,0,[],0,0,1,0.0,0
They praised the dedication in the volunteers.,0,[],0,0,1,0.0,0
The earth was believed to be round.,1,['was believed'],1,1,1,1.0,1
Sarah smiled a charming smile.,0,[],0,0,1,0.0,0
Sandra beamed a cheerful welcome.,0,[],0,0,1,0.0,0
You've really lived it up.,0,[],0,0,1,0.0,0
Paperback books lift onto the table easily.,0,[],0,0,1,0.0,0
The books lifted onto the table.,0,[],0,0,1,0.0,0
Jessica loaded boxes under the wagon.,0,[],0,0,1,0.0,0
Jessica loaded boxes on the wagon.,0,[],0,0,1,0.0,0
Jessica crammed boxes at the truck.,0,[],0,0,1,0.0,0
Lora buttered at the toast.,0,[],0,0,1,0.0,0
Carla shoveled the walk.,0,[],0,0,1,0.0,0
Nora sent the book.,0,[],0,0,1,0.0,0
Nora sent Peter the book.,0,[],0,0,1,0.0,0
Carla slid the book.,0,[],0,0,1,0.0,0
Carla slid at the book.,0,[],0,0,1,0.0,0
Amanda carried the package to Pamela.,0,[],0,0,1,0.0,0
Packages drive easily to New York.,0,[],0,0,1,0.0,0
The chair pushed.,0,[],0,0,1,0.0,0
We offered a job to her.,0,[],0,0,1,0.0,0
A job offered.,0,[],0,0,1,0.0,0
Brown presented a plaque to Jones.,0,[],0,0,1,0.0,0
Carmen bought Mary a dress.,0,[],0,0,1,0.0,0
Carmen obtained the spare part at the hardware store.,0,[],0,0,1,0.0,0
Michelle kept the desk with the papers.,0,[],0,0,1,0.0,0
Frances hid the presents in the drawer.,0,[],0,0,1,0.0,0
The needle poked the cloth.,0,[],0,0,1,0.0,0
Carrie touched that cat.,0,[],0,0,1,0.0,0
Herman whipped the sugar and the cream.,0,[],0,0,1,0.0,0
Linda taped the picture to the wall.,0,[],0,0,1,0.0,0
Linda taped the picture onto the wall.,0,[],0,0,1,0.0,0
The child and her mother clung together.,0,[],0,0,1,0.0,0
This flyer and that flyer differ.,0,[],0,0,1,0.0,0
This flyer and that flyer differ apart.,0,[],0,0,1,0.0,0
The jeweller scribbled the contract with his name.,0,[],0,0,1,0.0,0
The gardener grew that acorn into an oak tree.,0,[],0,0,1,0.0,0
I shaped a loaf.,0,[],0,0,1,0.0,0
The children amused.,0,[],0,0,1,0.0,0
Susan whispered the news.,0,[],0,0,1,0.0,0
Susan whispered at Rachel.,0,[],0,0,1,0.0,0
Ellen said that melons were selling well.,0,[],0,0,1,0.0,0
Ellen said about the present conditions.,0,[],0,0,1,0.0,0
Ellen warned Helen against skating on thin ice.,0,[],0,0,1,0.0,0
Cynthia nibbled on the carrot .,0,[],0,0,1,0.0,0
Cynthia chewed.,0,[],0,0,1,0.0,0
Paul laughed at Mary.,0,[],0,0,1,0.0,0
Linda winked her lip.,0,[],0,0,1,0.0,0
My heart is pounding me.,0,[],0,0,1,0.0,0
Sharon fainted from hunger.,0,[],0,0,1,0.0,0
The witch poisoned the children.,0,[],0,0,1,0.0,0
A grandfather clock ticked in the hallway.,0,[],0,0,1,0.0,0
I squeaked the door.,0,[],0,0,1,0.0,0
Over the fire there bubbled a fragrant stew.,0,[],0,0,1,0.0,0
Soaring temperatures are predicted for this weekend.,1,['are predicted'],1,1,1,1.0,1
The fort fluttered with many flags.,0,[],0,0,1,0.0,0
The voices echoed in the hall.,0,[],0,0,1,0.0,0
The stream twists through the valley.,0,[],0,0,1,0.0,0
There presented itself a wonderful opportunity yesterday.,0,[],0,0,1,0.0,0
A wonderful opportunity presented itself to him yesterday.,0,[],0,0,1,0.0,0
Out of the box jumped a little white rabbit.,0,[],0,0,1,0.0,0
Penny skated around the rink.,0,[],0,0,1,0.0,0
Jackie accompanied Rose.,0,[],0,0,1,0.0,0
many information was provided.,1,['was provided'],1,1,1,1.0,1
John offers many advice.,0,[],0,0,1,0.0,0
The cake that Jones got was more delicious than the one that Smith got.,0,[],0,0,1,0.0,0
We recommend to eat less cake and pastry.,0,[],0,0,1,0.0,0
I saw that gas can explode.,0,[],0,0,1,0.0,0
He washed her.,0,[],0,0,1,0.0,0
Wash you!,0,[],0,0,1,0.0,0
They have no in.,0,[],0,0,1,0.0,0
Some my jobs are in jeopardy.,0,[],0,0,1,0.0,0
It was the policeman met that several young students in the park last night.,0,[],0,0,1,0.0,0
did the policeman meet in the park?,0,[],0,0,1,0.0,0
John put old books in the box.,0,[],0,0,1,0.0,0
The monkeys proud of their leader.,0,[],0,0,1,0.0,0
John sounded very.,0,[],0,0,1,0.0,0
I don't know if I should agree.,0,[],0,0,1,0.0,0
John bought a book on the table.,0,[],0,0,1,0.0,0
John called the president a fool.,0,[],0,0,1,0.0,0
I forgot how good beer tastes.,0,[],0,0,1,0.0,0
This teacher is a genius.,0,[],0,0,1,0.0,0
A good friend is remained to me by him.,1,['is remained'],1,1,1,1.0,1
John ate his noodle quietly.,0,[],0,0,1,0.0,0
A smith hammered the metal.,0,[],0,0,1,0.0,0
Sandy removed her ballet shoes.,0,[],0,0,1,0.0,0
This week will be a difficult one for us.,0,[],0,0,1,0.0,0
Benny worked in a shoe factory when he was a student.,0,[],0,0,1,0.0,0
Everyone hoped that she would sing.,0,[],0,0,1,0.0,0
This proved a decisive factor.,0,[],0,0,1,0.0,0
The crocodile devoured the doughnut.,0,[],0,0,1,0.0,0
John is afraid of Bill.,0,[],0,0,1,0.0,0
John put under the bathtub.,0,[],0,0,1,0.0,0
John placed Kim behind the garage.,0,[],0,0,1,0.0,0
Kim depends for Sandy.,0,[],0,0,1,0.0,0
John put the book in the box.,0,[],0,0,1,0.0,0
John taught English Syntax to new students.,0,[],0,0,1,0.0,0
John regards Bill as a good friend.,0,[],0,0,1,0.0,0
Kim put in the box.,0,[],0,0,1,0.0,0
The chickens seem fond of the farmer.,0,[],0,0,1,0.0,0
The rules require that the executives be polite.,0,[],0,0,1,0.0,0
That Fred was unpopular nominated Bill.,0,[],0,0,1,0.0,0
They were taking a hard look at possible FTA.,0,[],0,0,1,0.0,0
John paid me against the book.,0,[],0,0,1,0.0,0
The committee will study the feasibility of setting up a national computer network.,0,[],0,0,1,0.0,0
We made them be rude.,0,[],0,0,1,0.0,0
"After reading the pamphlet, Judy threw it into the garbage can.",0,[],0,0,1,0.0,0
Students studying English reads Conrad's Heart of Darkness while at university.,0,[],0,0,1,0.0,0
I read some of the book.,0,[],0,0,1,0.0,0
Most of the fruit is rotten.,0,[],0,0,1,0.0,0
Neither of students failed.,0,[],0,0,1,0.0,0
I drank some of water.,0,[],0,0,1,0.0,0
It is a golden hair.,0,[],0,0,1,0.0,0
The boy in the doorway waved to his father.,0,[],0,0,1,0.0,0
"That dog is so ferocious, it even tried to bite itself.",0,[],0,0,1,0.0,0
He washed yourself.,0,[],0,0,1,0.0,0
John is easy to please Kim.,0,[],0,0,1,0.0,0
There seemed to be intelligent.,0,[],0,0,1,0.0,0
John tried to please Stephen.,0,[],0,0,1,0.0,0
We believed John to be a fountain in the park.,0,[],0,0,1,0.0,0
It tries to leave the country.,0,[],0,0,1,0.0,0
John tries to leave the country.,0,[],0,0,1,0.0,0
Under the bed seems to be a fun place to hide.,0,[],0,0,1,0.0,0
There is believed to be sheep in the park.,1,['is believed'],1,1,1,1.0,0
I hope to would study in France.,0,[],0,0,1,0.0,0
John can kick the ball.,0,[],0,0,1,0.0,0
John will rain tomorrow.,0,[],0,0,1,0.0,0
We expect there to will rain.,0,[],0,0,1,0.0,0
John was found in the office.,1,['was found'],1,1,1,1.0,1
Did the child be in the school?,0,[],0,0,1,0.0,0
It did not rain.,0,[],0,0,1,0.0,0
John wants not to leave the town.,0,[],0,0,1,0.0,0
"Mary likes to tour art galleries, but Bill hates to.",0,[],0,0,1,0.0,0
They needn't take this exam.,0,[],0,0,1,0.0,0
Ann may spend her vacation in Italy.,0,[],0,0,1,0.0,0
"They love to play golf, but I do not.",0,[],0,0,1,0.0,0
"George has spent a lot of money, hasn't he?",0,[],0,0,1,0.0,0
"As a statesman, scarcely could he do anything worth mentioning.",0,[],0,0,1,0.0,0
We never found any of the unicorns.,0,[],0,0,1,0.0,0
One of Korea's most famous poets wrote these lines.,0,[],0,0,1,0.0,0
Somebody apparently struck the unidentified victim during the early morning hours.,0,[],0,0,1,0.0,0
The car was driven.,1,['was driven'],1,1,1,1.0,1
Ricky can be relied on.,1,['can be relied'],1,1,1,1.0,1
The bed was slept in.,1,['was slept'],1,1,1,1.0,1
A pound was weighed by the book.,1,['was weighed'],1,1,1,1.0,1
Who do you think Tom saw?,0,[],0,0,1,0.0,0
he had spent five thousand dollars.,0,[],0,0,1,0.0,0
Fed knows which politician her to vote for.,0,[],0,0,1,0.0,0
How did you guess that he fixed the computer?,0,[],0,0,1,0.0,0
The committee knows whose efforts to achieve peace the world should honor.,0,[],0,0,1,0.0,0
Which house does your friend live?,0,[],0,0,1,0.0,0
the baker from whom I bought these bagels left.,0,[],0,0,1,0.0,0
I found the place where we can relax.,0,[],0,0,1,0.0,0
Jack is the person with whom Jenny fell in love with.,0,[],0,0,1,0.0,0
There is a bench to sit on.,0,[],0,0,1,0.0,0
I met the man who grows peaches.,0,[],0,0,1,0.0,0
Which topic did you choose without getting his approval?,0,[],0,0,1,0.0,0
Which topic did you get bored because Mary talked about?,0,[],0,0,1,0.0,0
That is the reason why he resigned.,0,[],0,0,1,0.0,0
It bothers me that John coughs.,0,[],0,0,1,0.0,0
To please John is easy.,0,[],0,0,1,0.0,0
Kim is eager to please Tom.,0,[],0,0,1,0.0,0
That we invaded Iraq really bites.,0,[],0,0,1,0.0,0
It annoys me that Fido barks.,0,[],0,0,1,0.0,0
Who achieved the best result was Angela.,0,[],0,0,1,0.0,0
It was the peasant girl who got it.,0,[],0,0,1,0.0,0
That kind of person is hard to find anyone to look after.,0,[],0,0,1,0.0,0
A sick owl doesn't hunt mice.,0,[],0,0,1,0.0,0
Each candidate who has interest in semantics will be admitted to the department.,1,['will be admitted'],1,1,1,1.0,0
Each author whose contribution is written in any language other than English will provide a summary in English.,1,['is written'],1,1,1,1.0,1
I'm sure we even got these tickets!,0,[],0,0,1,0.0,0
I'm even sure we got these tickets!,0,[],0,0,1,0.0,0
It's not because I have any sympathy for urban guerillas that I helped him.,0,[],0,0,1,0.0,0
It isn't because Sue said anything bad about me that I'm angry.,0,[],0,0,1,0.0,0
"That he was hungry, John whined.",0,[],0,0,1,0.0,0
1 gave Mary after the party a book.,0,[],0,0,1,0.0,0
"Because she's so pleasant, as for Mary I really like her.",0,[],0,0,1,0.0,0
"Though he may hate those that criticize Carter, it doesn't matter.",0,[],0,0,1,0.0,0
With no job would John be happy.,0,[],0,0,1,0.0,0
I have much of the manuscript left to type.,0,[],0,0,1,0.0,0
He's a more reliable man.,0,[],0,0,1,0.0,0
Any trouble is what I don't want.,0,[],0,0,1,0.0,0
They may grow as high as bamboo.,0,[],0,0,1,0.0,0
Some of them made as many errors as 20.,0,[],0,0,1,0.0,0
Sally kissed himself.,0,[],0,0,1,0.0,0
Drew believes I think Rosie loves magazine ads.,0,[],0,0,1,0.0,0
"Dave, Dan, Erin, Jaime, and Alina left.",0,[],0,0,1,0.0,0
"Hopefully, we'll make it through the winter without snow.",0,[],0,0,1,0.0,0
Blue leather shows herself that Betsy is pretty.,0,[],0,0,1,0.0,0
Gwen hit the baseball.,0,[],0,0,1,0.0,0
I hit that you knew the answer.,0,[],0,0,1,0.0,0
I've lost my wallet or I've lost my mind.,0,[],0,0,1,0.0,0
It was a brand new car that he bought.,0,[],0,0,1,0.0,0
He likes cookies and he hates crumb cake.,0,[],0,0,1,0.0,0
They chased the man with the car.,0,[],0,0,1,0.0,0
I didn't have a red cent.,0,[],0,0,1,0.0,0
the book of poems and from Blackwell takes a very long time to read.,0,[],0,0,1,0.0,0
the one with a red cover takes a very long time to read.,0,[],0,0,1,0.0,0
John has a fear of dogs.,0,[],0,0,1,0.0,0
The building's the roof is leaking.,0,[],0,0,1,0.0,0
the panther's the coat is dark black.,0,[],0,0,1,0.0,0
Colin asked if they could get a mortgage.,0,[],0,0,1,0.0,0
The man I saw get into the cab robbed the bank.,0,[],0,0,1,0.0,0
