document,binary,passive_match(es),raw_passive_count,raw_passive_sents_count,raw_sentence_count,passive_sents_percentage,ID,human_coding
The politics being discussed were causing scene.,1,['being discussed'],1,1,1,1.0,A3ATU3VULAB7K2,1
The world of politics is quite fascinating.,0,[],0,0,1,0.0,A1CTJ8UT7SF317,0
I don usually participate in discussions about politics.,0,[],0,0,1,0.0,A327Q0Y175MEH7,0
The president was impeached before his second term.,1,['was impeached'],1,1,1,1.0,A19TD2J8506A4Y,1
The President just gave speech about COVID relief.,0,[],0,0,1,0.0,A2DDXYTEVDV5F5,0
I wish the government was better.,0,[],0,0,1,0.0,AJ9O2ZA0E8UDZ,0
Sanders fights for the working class.,0,[],0,0,1,0.0,AYXXMHLZRAPF9,0
Politics is topic for the commoners.,0,[],0,0,1,0.0,A3M0L33TPD346S,0
The passage of the bill was interrupted by politics.,1,['was interrupted'],1,1,1,1.0,A33GB614ST7J82,1
The Democratic candidate won the election by landslide.,0,[],0,0,1,0.0, COPIEDAKHKMEPXX1YZ9,0
The House passed the bill with bipartisan support.,0,[],0,0,1,0.0,A23273YME4RCEB,0
Politics was the focus of her television viewing.,0,[],0,0,1,0.0,A3O4WYGKH31OX,0
"A dangerous game, politics sometimes is.",0,[],0,0,1,0.0,A3NLSGHK6RFXA8,0
Donald Trump destroyed the Republican Party.,0,[],0,0,1,0.0,AOJF7CPZVK5U3,0
An interesting election had occured.,0,[],0,0,1,0.0,A154ZJKRSX6847,1
Politics is believed to be unimportant by number of Americans.,1,['is believed'],1,1,1,1.0,A3FXVNZ5VG98IP,1
I am stunned at the impact politics is having on our country these days.,0,[],0,0,1,0.0,AYXN53TNFG71P,0
The president was elected last week. ,1,['was elected'],1,1,1,1.0,AMUKX1DM4ASA7,1
Politics is hot topic issue for many Americans.,0,[],0,0,1,0.0,AFE7E450NETF2,0
POLITICS DRIVE EVERYONE CRAZY.,0,[],0,0,1,0.0,A2DLZ9PK82J8L2,0
Politics is den of snakes. ,0,[],0,0,1,0.0,ARON01UO1YK7I,0
I was happy to vote. ,0,[],0,0,1,0.0,A3RNGN5WLE1OBU,0
The past President did not do so well.,0,[],0,0,1,0.0,A1ZZETG57T5D5X,0
Politics is very messy,0,[],0,0,1,0.0,A2Z75NJBZ46RE9,0
American politics was ruined by Donald Trump.,1,['was ruined'],1,1,1,1.0,A1CI5U3BLQ2DDS,1
 Politics is the art of the possible. ,0,[],0,0,1,0.0,A1CI5U3BLQ2DDS ,0
He voted for the Democratic candidate. ,0,[],0,0,1,0.0,ATSNZCC16HIOI,0
I want to see the best politics from the Democratic Party ,0,[],0,0,1,0.0,A1SWGSFIMZJQE,0
Politics can can cause discomfort in some people. ,0,[],0,0,1,0.0,A33UZLF8WW0DV1,0
The Trump regime is far from over.,0,[],0,0,1,0.0,A39GP79ULCP9J2,0
Politics is contentious.,0,[],0,0,1,0.0,A2X5BYJKVKSYQQ,0
I once voted in local election ,0,[],0,0,1,0.0,A12S5JDG2D5HEW,0
I vote because it is my right.,0,[],0,0,1,0.0,A1FAQI8VXLAMBM,0
The race was won by President Trump.,1,['was won'],1,1,1,1.0,A3P1QF00PF2DF9,1
I am watching this politician lie right now ,0,[],0,0,1,0.0,A16ZLWV0QUJP65,0
Joe Biden signed the stimulus bill.,0,[],0,0,1,0.0,AOJD8D9NXVAR3,0
Politics have become senseless.,0,[],0,0,1,0.0,A1ZLWV0QUJP65,1
Trump is the worst president of all time. ,0,[],0,0,1,0.0,AAL5LUI5U3NAV,0
I do not know much about my country politics. ,0,[],0,0,1,0.0,A1TK1M16KJJKEO,0
I went to the political rally,0,[],0,0,1,0.0,A79XOBCSS4NTG,0
Politics is difficult career.,0,[],0,0,1,0.0,A2O3IWIVOZD4S7,0
Politics are very controversial.,0,[],0,0,1,0.0,A2SVKAI2PNTS79,0
"The people voted for the President,",0,[],0,0,1,0.0,A2O3IWIVOZD4S7,0
The country was shown lot of problems with politics,1,['was shown'],1,1,1,1.0,A2VNR6984SDFGQ,1
The voters were important in deciding the election. ,0,[],0,0,1,0.0,A3CLBF224TRYC9,0
The man read about politics in his local newspaper.,0,[],0,0,1,0.0,A8TLS2F8LFQ68,0
Liberal politics are out of control. ,0,[],0,0,1,0.0,AIJPLVW0ULYTH,0
Most politicians seem to only be in it for themselves.,0,[],0,0,1,0.0,A3CX0LXFHZ6I3I,0
Getting involved in politics is easy.,0,[],0,0,1,0.0,A2LEBJWW395FST,0
The ballots were clearly marked on Election Day.,1,['were clearly marked'],1,1,1,1.0,AFTSLCMJASJDR,1
He had no interest in politics,0,[],0,0,1,0.0,AA0EJ752F121Q,0
Politics often threatens family gatherings that would otherwise be fun.,0,[],0,0,1,0.0,A2VN0R4EGGV7KE,0
I went and voted today.,0,[],0,0,1,0.0,AJKA9BKC011F2,0
The politics pay big role.,0,[],0,0,1,0.0,A2X823PACMMOKP,0
The mayor in the politicians office was corrupted. ,1,['was corrupted'],1,1,1,1.0,ALG1XBLARJ545,1
The Republicans were defeated by the Democrats in the last US Presidential election.,1,['were defeated'],1,1,1,1.0,A2SKOPFTRTNFUY,1
Citizens were impacted by the president choices.,1,['were impacted'],1,1,1,1.0,A347NXF6NQGM5G,1
A person politics make up their personality.,0,[],0,0,1,0.0,AFRKVRPZ2RHY8,0
I am campaigning for cause that supports Republican Politics.,0,[],0,0,1,0.0,A2OZKKX2O0YTLD,0
Trump yelled at the heckler ,0,[],0,0,1,0.0,A240OTT1T85UGT,0
The family would have heated political arguments after dinner. ,0,[],0,0,1,0.0,A55E4CZQLYYO3,0
The debate tonight was heated ,0,[],0,0,1,0.0,A3QNSOORS63W0D,0
Politics requires suffering.,0,[],0,0,1,0.0,A63XZD0XGIMAI,0
There were not enough votes to elect him.,0,[],0,0,1,0.0,A2ONKY3JGB34T3,1
Joe Biden toured the country when he ran for President.,0,[],0,0,1,0.0,AOJD8D9NXVAR3,0
Politics ruins society.,0,[],0,0,1,0.0,A33B85TN97HQ33,0
Donald Trump got beat by Joe Biden in the 2020 Elections.,1,['got beat'],1,1,1,1.0,A3J72C0SIACZBS,1
An error was made in the tabulation of votes.,1,['was made'],1,1,1,1.0,AW3PWVBIGPNAA,1
Politics are very complicated.,0,[],0,0,1,0.0,AC95JAUAM2L2Z,0
Abortion is sensitive topic for many people.,0,[],0,0,1,0.0,AFE7E450NETF2,0
I am into politics,0,[],0,0,1,0.0,AXR1QGU4KTMSZ,0
The politician was impeached for extreme corruption.,1,['was impeached'],1,1,1,1.0,COPIEDAKHKMEPXX1YZ9,1
I don want to write anything about politics ,0,[],0,0,1,0.0,AOZBPO12UMPUY,0
Politics is in every workplace .,0,[],0,0,1,0.0,A1JSPB0XCFUUG1,0
The president was elected that night.,1,['was elected'],1,1,1,1.0,A2VAG94W4SK18C,1
Politics can be stressful to be involved in. ,0,[],0,0,1,0.0,A2GIT09BQEUM9M,0
Politics are product of systems.,0,[],0,0,1,0.0,A162CO8K267FU8,0
I do not like Donal Trump.,0,[],0,0,1,0.0,A3S9ASZKIIJ3WF,0
Politics help society function.,0,[],0,0,1,0.0,A3JUAN2Y9XTK5L,0
I wish there had been different candidates running for President in the election.,0,[],0,0,1,0.0,A23FK9ROU01U4D,1
The nation is arguing over politics,0,[],0,0,1,0.0,A79XOBCSS4NTG,0
The president did not want to concede the ellection.,0,[],0,0,1,0.0,AU34Y1DWWQ47O,0
i liked politics,0,[],0,0,1,0.0,A2TWX0MB777CAB,0
Politics are slipper slope.,0,[],0,0,1,0.0,A1HYNGG8LZUV47,0
Politics never interested me growing up.,0,[],0,0,1,0.0,AQDBBBTN8NE9X,1
Politics would have to be considered.,1,['be considered'],1,1,1,1.0,A36G7I51D5O1M4,1
The President signed the bill into law today.,0,[],0,0,1,0.0,COPIEDAPV3GK8ZEXB0J,0
I avoid talking about politics.,0,[],0,0,1,0.0,A38LW34F26WBJY,0
My favorite candidate is Joe Biden,0,[],0,0,1,0.0,A35TZ4YGDSXSEC,0
The American people were misled by the government message.,1,['were misled'],1,1,1,1.0,A37CSK5QI41636,1
I feel like all they talk about is the politics on the news. ,0,[],0,0,1,0.0,ACIWLS3IQPV1J,0
My dad went to vote while I stayed in the car.,0,[],0,0,1,0.0,A1N274L13ZKKI5,0
Politics play major role in the formation of opinions.,0,[],0,0,1,0.0,A3NG205QJ48IM4,0
I did vote in the last election.,0,[],0,0,1,0.0,A2I6YPPQK6BU09,0
If I bring up politics at dinner I ll surely start fight.,0,[],0,0,1,0.0,A1H4MYPDJ2K3VI,0
Joe Biden was elected as the next president. ,1,['was elected'],1,1,1,1.0,A15B294KHVGPFV,1
I really hate Republican s,0,[],0,0,1,0.0,A3774HPOUKYTX7,0
Politics can be stressful topic.,0,[],0,0,1,0.0,ARTARDCXLJ5H6,0
The taxes are low for education.,0,[],0,0,1,0.0,A2RCUR9HJ9D0UQ,0
I spoke with my friend about the political race.,0,[],0,0,1,0.0,AO9AKYPPGGGZ4,0
I am so tired of politics,0,[],0,0,1,0.0,ADIW4L4IGU98R,0
Jane plays games in politics by running for office under an independent party name.,0,[],0,0,1,0.0,A34IZFOSHOZ4GN,0
I voted in the last election. ,0,[],0,0,1,0.0,A11ILN5YSUDVG8,0
A rally was held for Biden by the Democratic party before the election. ,1,['was held'],1,1,1,1.0,A13CFYL1AW272Y,1
The state health department was affected negatively by the Governor vote to cut funding.,1,['was affected'],1,1,1,1.0,AAFM5PPF9P0W,1
Bill Clinton slept with his intern Monika Lewinsky. ,0,[],0,0,1,0.0,A20P819KPQWCK0,0
Politics tends to go into one ear and out of the other.,0,[],0,0,1,0.0,A2OKJSKQFMCZTP,0
The new mayor seems to not know anything about politics.,0,[],0,0,1,0.0,AM0FRMVODTMXA,0
I enjoy watching politics on tv. ,0,[],0,0,1,0.0,A2WSYQ5TS09U1,0
Marisha votes for the Democratic Party. ,0,[],0,0,1,0.0,A1FAQI8VXLAMBM,0
Politics are always on the television.,0,[],0,0,1,0.0,A3C9B757QTE20C,0
Politics can be complicated,0,[],0,0,1,0.0,AK70USZXEJSF3,0
I very active in politics.,0,[],0,0,1,0.0,A3BWZ6V34W8SXX,0
People often talk about how political discourse was more civil in the past. ,0,[],0,0,1,0.0,A3U6RDG7BLH6YZ,0
Some politicians are not to be trusted.,1,['be trusted'],1,1,1,1.0,A2HUWXLMG214BI,1
The mayor was satisfied with the voters opinion.,0,[],0,0,1,0.0,A16DIQCMNWPBAN,0
It is nice to see president that has morals ,0,[],0,0,1,0.0,A357ADRGNGMMKC,0
How much do you enjoy reading about politics ,0,[],0,0,1,0.0,A3V2HVY764HJS4,0
Politics is the biggest debate in America ,0,[],0,0,1,0.0,A2W5PAZJG6X8Q8,0
In politics senators make huge salaries.,0,[],0,0,1,0.0,A118RTS8BOFIH7,0
The election was lost by the Republican.,1,['was lost'],1,1,1,1.0,A31CNXHGR49DJR,1
Politics can cumbersome,0,[],0,0,1,0.0,A3OM2ZQ7FUDTIN,0
Politics have ruined this country.,0,[],0,0,1,0.0,A3PSV85ZUXP9VF,0
Last year i voted for man with orange hair,0,[],0,0,1,0.0,A3G11HOZ5PCWOH,0
Politics is an exciting game to watch. ,0,[],0,0,1,0.0,A33ELVLU0NX9N9,0
The President sits at his desk.,0,[],0,0,1,0.0,A2W434UNNBRS4L,0
I think what is happening in the world is wrong,0,[],0,0,1,0.0,A2EW08X2I87RXL,0
Misleading statements were made during the debate.,1,['were made'],1,1,1,1.0,AHTWQSOY6HTJI,1
I hated that politics class.,0,[],0,0,1,0.0,A16Y5JEB1EF9CY,0
I think politics are overrated.,0,[],0,0,1,0.0,A3M0L33TPD346S,0
The president enacted some controversial policies.,0,[],0,0,1,0.0,AY4KZOUEZ8BAM,0
Politics pays havoc with people mind.,0,[],0,0,1,0.0,A14Z1JSAR9JEON,0
Politics is very important issue in our country.,0,[],0,0,1,0.0,A3M2Q7EZCJ85GE,0
I think I know lot about politics.,0,[],0,0,1,0.0,A36W1PIV68AE5K,0
I will change people opinion about racial rights.,0,[],0,0,1,0.0,ANR81FZBHHR0F,0
Politics are not often discussed in the workplace.,1,['are not often discussed'],1,1,1,1.0,A2UOOBZQ5L2EL1,1
Politics are currently all anyone talks about at work.,0,[],0,0,1,0.0,j2wj0096lt,0
I love how the polling is going ,0,[],0,0,1,0.0,A3NUGUAMBKYMZY,0
Politics runs the world.,0,[],0,0,1,0.0,A33TBDS0UALKW2,0
The incumbent senator was defeated by the challenger.,1,['was defeated'],1,1,1,1.0,A2BT7QVGXJKFKI,1
"John was just elected mayor of our town, something he has always wanted to be.",1,['was just elected'],1,1,1,1.0,A39J8MSTUDVH0D,1
Politicians should not tweet about politics.,0,[],0,0,1,0.0,A15X9KAJB8M54B,0
politics is the bane of existence.,0,[],0,0,1,0.0,A1CRE2Z623JZ6V,0
The senator approval ratings had sunken since voting for the crime bill.,0,[],0,0,1,0.0,A3H8A6SSZH6MQQ,1
Politics was not topuc of conversation.,0,[],0,0,1,0.0,A2137K4XEU12TI,0
The mayor decides to run for office another year after successful year in politics.,0,[],0,0,1,0.0,AMFIHFK9N0OVK,0
I closely follow politics.,0,[],0,0,1,0.0,A1JAWNX4R60ZZ0,0
I voted for the President.,0,[],0,0,1,0.0,A1MPJYJCUAOFOB,0
I heard many things about politics.,0,[],0,0,1,0.0,A3HT6YYXPBRKN3,0
I believe politicians will not lead our country in the right direction.,0,[],0,0,1,0.0,A3V9UGWBPDRFSG,0
The preident does not like politics when there devicive.,0,[],0,0,1,0.0,A1ZJ3TU4QJIKLY,0
Politics is definitely very sensitive topic in this society.,0,[],0,0,1,0.0,A129LL7SYP8EOE,0
The vote certification was delayed several hours due to an attack on Congress.,1,['was delayed'],1,1,1,1.0,A2VUF0V7HT51Q3,1
In the past I was not very interested in politics.,0,[],0,0,1,0.0,A3IB7YJHP04OHI,0
The president is calling staff meeting.,0,[],0,0,1,0.0,A13DHPKBQXN9R7,0
I do not follow politics.,0,[],0,0,1,0.0,A1B3K5W6NZ03U2,0
The political ad was placed by Cathy.,1,['was placed'],1,1,1,1.0,A29KJK7GPUF3OT,1
The politician scheduled his week-long campaign.,0,[],0,0,1,0.0,A26A77APE2SUR5,0
Politics makes people crazy ,0,[],0,0,1,0.0,A8BSFVAPZBIUS ,0
I am going to be running for office during the next election. ,0,[],0,0,1,0.0,A1ADRYNCJIRFOO,0
The election was won by the oldest candidate.,1,['was won'],1,1,1,1.0,A1PAN54I7HWSZI,1
 Effective campaigning is paramount to winning.,0,[],0,0,1,0.0,AS8JG1LSWTMGY,0
Politics are not for the soft hearted.,0,[],0,0,1,0.0,A25D8WXH1F4CG9,0
People in politics lie all the time.,0,[],0,0,1,0.0,A1TK1M16KJJKEO,0
George studied politics in college for his major.,0,[],0,0,1,0.0,A1282WX3YWXM6E,0
I VOTED IN THE LAST ELECTION,0,[],0,0,1,0.0,A3SUUPLFBSG1T9,0
Politics was used by student body.,1,['was used'],1,1,1,1.0,A2T6EBB0Z6TQZS  ,1
The nation is now calm after our new president has arrived.,0,[],0,0,1,0.0,A3G1X3IP2VM4IK,0
The Senator was begging for votes.,0,[],0,0,1,0.0,A1KRDCZ1YYBUIZ,0
We were in line with many Trump supporters. ,0,[],0,0,1,0.0,A1X84CLJ7N1PLZ,0
Politics can be disappointing subject.,0,[],0,0,1,0.0,A141B3S3ZLY8DI,0
The politics of it were getting messy.,0,[],0,0,1,0.0,A1BDJMFP24FBGL,0
the news told me about politics,0,[],0,0,1,0.0,A3F34OE3VQ7W0V,0
The Demomcrats conceded to the Republicans objections.,0,[],0,0,1,0.0,A2BQ5JORLYGZMV,0
The politicians are voting ,0,[],0,0,1,0.0,A3ONF400XL2Y9U,0
Politics have become too much to handle. ,0,[],0,0,1,0.0,A2HDZE2L9EX2SY,0
Trump was defeated,1,['was defeated'],1,1,1,1.0,A2EY0J9LOPU3TU,1
American politics have become highly polarized.,0,[],0,0,1,0.0,A20SXG1DHDIDI7,0
My political voice was suppressed by public opinion ,1,['was suppressed'],1,1,1,1.0,A2Y81T0DIFJ866,1
Politics can be very complex to discuss ,0,[],0,0,1,0.0,A2MF4QDKE40KVN,0
who do you want to vote,0,[],0,0,1,0.0,A7Z6P6K85HX54,0
Politics are divisive topic.,0,[],0,0,1,0.0,A2PY9UB56M2PP2,0
Politics was once where Americans worked together to solve problems.,0,[],0,0,1,0.0,A2JUTTLDE5LGHH,0
I sometimes follow politics,0,[],0,0,1,0.0,A2F58OOW7K3DD2,0
Politics are all that he had to go on.,0,[],0,0,1,0.0,A1QW2XUJ7KZCV5,0
Some people just don understand. ,0,[],0,0,1,0.0,A3G3TIX6FEMN8R,0
The dog is barking at the mailman.,0,[],0,0,1,0.0,A2DDPSXH2X96RF,0
Politics are terrible right now,0,[],0,0,1,0.0,A2BZY06YRWGEDL,0
Poor decisions led to the loss by the candidate. ,0,[],0,0,1,0.0,A1C8FN01981A69,0
When will the next Congressmen run for office ,0,[],0,0,1,0.0,A2DU76P3SED4T6,0
I want to be more involed in Politics,0,[],0,0,1,0.0,AYSX5GNO640MZ,0
I voted at my local voting precinct.,0,[],0,0,1,0.0,A2R30HQXQN76IC,0
"The political process may move slowly, but eventually there are results.",0,[],0,0,1,0.0,AMDUEMZUK9GJC,0
The candidate is shown to have lied several times.,1,['is shown'],1,1,1,1.0,A2WS07SCLNP1GV,1
"If politics were not allowed in the news, there would be no news. ",1,['were not allowed'],1,1,1,1.0,A3V3LIPOU53GZQ,1
The Democrats won the election this year.,0,[],0,0,1,0.0,AQDA6OMC4W5V8,0
President Biden wins the election.,0,[],0,0,1,0.0,A1K3VCFF62LIO2,0
Many citizens passionately debate politics.,0,[],0,0,1,0.0,A2AFAWJX5LTUVN,0
When is Biden going to make speech in Atlanta ,0,[],0,0,1,0.0,AW8JVJQNLTXND,0
The candidate is likely to win.,0,[],0,0,1,0.0,A26ZENZ5G8AEGM,0
People are made fools due to some political leaders.,1,['are made'],1,1,1,1.0,A3Q9H7A8J8GR01,1
The president was satisfied with the bill so he signed it. ,0,[],0,0,1,0.0,A2SULQE4M8C3CM,0
Politics changes the ways people understand each other.,0,[],0,0,1,0.0,A2LDDDJ4WBKB8Y,0
Politics can be tricky on either the democratic or the republican side.,0,[],0,0,1,0.0,A2VJ27EN5W4MU,0
They are following politics.,0,[],0,0,1,0.0,A1SBWRAOJBEFIM,0
THE POLITICS THIS DAYS ARE SO COMPLICATED.,0,[],0,0,1,0.0,A12JQZP4XVOABB,0
he hates politics,0,[],0,0,1,0.0,AE5138F868GYB,0
Politics can sometimes help person reason.,0,[],0,0,1,0.0,AY2L2CZ6OKNEA,0
The disease was released by the President.,1,['was released'],1,1,1,1.0,A2S7LNJG767XIU,1
Donald Trump frequently engages in politics with other political figures.,0,[],0,0,1,0.0,A370S3V5OUNP4E,0
He is going to run in the next election.,0,[],0,0,1,0.0,A2ZKKOPPN3AX2G,0
The politics of it are confusing.,0,[],0,0,1,0.0,AH7I3K3OJKA5L,0
Republicans and Democrats are opposed to one another.,0,[],0,0,1,0.0,A5BCSSPC180AG,0
Politics in the country suck ,0,[],0,0,1,0.0,A1TO9C7AZND1VO,0
That what became of the voters.,0,[],0,0,1,0.0,AE0C5U5HZ7WR9,0
I am moderate when it comes to politics.,0,[],0,0,1,0.0,A1D4RC6K6Y5KAV,0
I identify as Republican.,0,[],0,0,1,0.0,A345TDMHP3DQ3G,0
The position was removed from office,1,['was removed'],1,1,1,1.0,A1U5UPSCURNRAA,1
Politics is very relevant topic in the world today.,0,[],0,0,1,0.0,A18UTX5FD7NPRV,0
Voters were discouraged to gather at the polls.,1,['were discouraged'],1,1,1,1.0,A3T79IEUFBB473,1
The brothers argued over who they would vote for in the election.,0,[],0,0,1,0.0,A3HKD5JYXYBK5Q,0
I am over the politics.,0,[],0,0,1,0.0,A3MSMV01T3S53S,0
The election was very unfair.,0,[],0,0,1,0.0,A2JAE9P7FQXU2T,0
Politics makes me so upset ,0,[],0,0,1,0.0,A23K77HMD9APAJ,0
I avoid speaking about Politics while at work. ,0,[],0,0,1,0.0,A322UHGPRL2UWO,0
My political views were not recognized.,1,['were not recognized'],1,1,1,1.0,A1EDKVYT9ZCGUH,1
I will run for political office one day.,0,[],0,0,1,0.0,A3CX8S6Q0QEW8E,0
My mom was already aware of the current politics.,0,[],0,0,1,0.0,AYX9OCFWBM939,0
They battled about immigration in the debate last night.,0,[],0,0,1,0.0,A1HNB2243A2PQH,0
Her use of politics had been tricky to understanding in the meeting.,0,[],0,0,1,0.0,A1Y38T7IZWJQAE,0
The sports being gambled on were very fast paced.,1,['being gambled'],1,1,1,1.0,A3ATU3VULAB7K2,1
Sports is an entertaining activity.,0,[],0,0,1,0.0,A1CTJ8UT7SF317,0
I do not enjoy sports.,0,[],0,0,1,0.0,A327Q0Y175MEH7,0
The basketball team was driven home in bus.,1,['was driven'],1,1,1,1.0,A19TD2J8506A4Y,1
I play basketball on the weekends.,0,[],0,0,1,0.0,A2DDXYTEVDV5F5,0
I wish the Lakers would win.,0,[],0,0,1,0.0,AJ9O2ZA0E8UDZ,0
Our pitcher throws 150km h.,0,[],0,0,1,0.0,AYXXMHLZRAPF9,0
I feel that sports are gateway to high fitness.,0,[],0,0,1,0.0,A3M0L33TPD346S,0
Sports were enjoyed by the fans.,1,['were enjoyed'],1,1,1,1.0,A33GB614ST7J82,1
The football player scored touchdown.,0,[],0,0,1,0.0, COPIEDAKHKMEPXX1YZ9,0
The quarterback caught the ball.,0,[],0,0,1,0.0,A23273YME4RCEB,0
Sports was the activity she enjoyed the most.,0,[],0,0,1,0.0,A3O4WYGKH31OX,0
Football is the sport I played in high school.,0,[],0,0,1,0.0,A3NLSGHK6RFXA8,0
Bob watched sports all day on TV.,0,[],0,0,1,0.0,AOJF7CPZVK5U3,0
Soccer was played by millions last year.,1,['was played'],1,1,1,1.0,A154ZJKRSX6847,1
Sports are watched for entertainment purposes by the masses.,1,['are watched'],1,1,1,1.0,A3FXVNZ5VG98IP,1
My niece participates in various sports in school.,0,[],0,0,1,0.0,AYXN53TNFG71P,0
The ball was hit out of bounds.,1,['was hit'],1,1,1,1.0,AMUKX1DM4ASA7,1
The soccer game is alot of fun.,0,[],0,0,1,0.0,AFE7E450NETF2,0
SPORTS DRIVE EVERYONE CRAZY. ,0,[],0,0,1,0.0,A2DLZ9PK82J8L2,0
Sports seem boring to me. ,0,[],0,0,1,0.0,ARON01UO1YK7I,0
Gymnastics is one of the sports I like watching. ,0,[],0,0,1,0.0,A3RNGN5WLE1OBU,1
The player had hit the ball so far.,0,[],0,0,1,0.0,A1ZZETG57T5D5X,0
Sports are entertaining to watch,0,[],0,0,1,0.0,A2Z75NJBZ46RE9,0
All sports were halted during the pandemic.,1,['were halted'],1,1,1,1.0,A1CI5U3BLQ2DDS,1
 The government canceled all sports during the pandemic. ,0,[],0,0,1,0.0,A1CI5U3BLQ2DDS ,0
I love hitting the baseball. ,0,[],0,0,1,0.0,ATSNZCC16HIOI,0
I like watching sports on television ,0,[],0,0,1,0.0,A1SWGSFIMZJQE,0
Sports can help pass the time. ,0,[],0,0,1,0.0,A33UZLF8WW0DV1,0
Tiger Woods will not be playing golf due to his automobile accident.,0,[],0,0,1,0.0,A39GP79ULCP9J2,0
Sports is entertaining.,0,[],0,0,1,0.0,A2X5BYJKVKSYQQ,0
Sometimes sports games can seem little long.,0,[],0,0,1,0.0,A12S5JDG2D5HEW,0
I kick the soccer ball to Sam.,0,[],0,0,1,0.0,A1FAQI8VXLAMBM,0
The baseball game was playing on the TV.,0,[],0,0,1,0.0,A3P1QF00PF2DF9,0
The quarterback is being tackled before the throw.,1,['is being tackled'],1,1,1,1.0,A16ZLWV0QUJP65,1
The first-ranked tennis player won Wimbledon.,0,[],0,0,1,0.0,AOJD8D9NXVAR3,0
Sports channel was great last weekend,0,[],0,0,1,0.0,A1ZLWV0QUJP65,0
Candace is the fastest runner in her class. ,0,[],0,0,1,0.0,AAL5LUI5U3NAV,0
He plays on many sports teams. ,0,[],0,0,1,0.0,A1TK1M16KJJKEO,0
I played lot of sports,0,[],0,0,1,0.0,A79XOBCSS4NTG,0
Many people enjoy sports.,0,[],0,0,1,0.0,A2O3IWIVOZD4S7,0
Sports are extremely fun to play when one is competitive.,0,[],0,0,1,0.0,A2SVKAI2PNTS79,0
Sports are popular with kids.,0,[],0,0,1,0.0,A2O3IWIVOZD4S7,0
The sports hero was known for his homerun streak.,1,['was known'],1,1,1,1.0,A2VNR6984SDFGQ,1
He was one of the best players on the court. ,0,[],0,0,1,0.0,A3CLBF224TRYC9,0
The children played various sports on the playground.,0,[],0,0,1,0.0,A8TLS2F8LFQ68,0
Sports are keeping you healthy.,0,[],0,0,1,0.0,AIJPLVW0ULYTH,0
i not truly fan of football.,0,[],0,0,1,0.0,A3CX0LXFHZ6I3I,0
I playing sports more and more lately.,0,[],0,0,1,0.0,A2LEBJWW395FST,0
The football glided across the field.,0,[],0,0,1,0.0,AFTSLCMJASJDR,0
Sports are important to him.,0,[],0,0,1,0.0,AA0EJ752F121Q,0
The cyclist pedaled quickly away from his challengers.,0,[],0,0,1,0.0,A2VN0R4EGGV7KE,0
I played volleyball yesterday.,0,[],0,0,1,0.0,AJKA9BKC011F2,0
All sports has been cancelled due to the pandemic. ,1,['has been cancelled'],1,1,1,1.0,A2X823PACMMOKP,1
