Sentence,ID,Test,Cond,human_coding
The politics being discussed were causing scene.,A3ATU3VULAB7K2,2.0,2,1
The world of politics is quite fascinating.,A1CTJ8UT7SF317,1.0,1,0
I don usually participate in discussions about politics.,A327Q0Y175MEH7,1.0,1,0
The president was impeached before his second term.,A19TD2J8506A4Y,1.0,2,1
The President just gave speech about COVID relief.,A2DDXYTEVDV5F5,1.0,1,0
I wish the government was better.,AJ9O2ZA0E8UDZ,2.0,2,0
Sanders fights for the working class.,AYXXMHLZRAPF9,1.0,1,0
Politics is topic for the commoners.,A3M0L33TPD346S,1.0,1,0
The passage of the bill was interrupted by politics.,A33GB614ST7J82,1.0,2,1
The Democratic candidate won the election by landslide., COPIEDAKHKMEPXX1YZ9,2.0,1,0
The House passed the bill with bipartisan support.,A23273YME4RCEB,1.0,1,0
Politics was the focus of her television viewing.,A3O4WYGKH31OX,1.0,2,0
"A dangerous game, politics sometimes is.",A3NLSGHK6RFXA8,1.0,2,0
Donald Trump destroyed the Republican Party.,AOJF7CPZVK5U3,1.0,1,0
An interesting election had occured.,A154ZJKRSX6847,1.0,2,1
Politics is believed to be unimportant by number of Americans.,A3FXVNZ5VG98IP,1.0,2,1
I am stunned at the impact politics is having on our country these days.,AYXN53TNFG71P,1.0,1,0
The president was elected last week. ,AMUKX1DM4ASA7,1.0,2,1
Politics is hot topic issue for many Americans.,AFE7E450NETF2,1.0,1,0
POLITICS DRIVE EVERYONE CRAZY.,A2DLZ9PK82J8L2,1.0,1,0
Politics is den of snakes. ,ARON01UO1YK7I,2.0,2,0
I was happy to vote. ,A3RNGN5WLE1OBU,1.0,1,0
The past President did not do so well.,A1ZZETG57T5D5X,2.0,2,0
Politics is very messy,A2Z75NJBZ46RE9,1.0,1,0
American politics was ruined by Donald Trump.,A1CI5U3BLQ2DDS,1.0,2,1
 Politics is the art of the possible. ,A1CI5U3BLQ2DDS ,1.0,1,0
He voted for the Democratic candidate. ,ATSNZCC16HIOI,1.0,1,0
I want to see the best politics from the Democratic Party ,A1SWGSFIMZJQE,2.0,2,0
Politics can can cause discomfort in some people. ,A33UZLF8WW0DV1,2.0,2,0
The Trump regime is far from over.,A39GP79ULCP9J2,1.0,1,0
Politics is contentious.,A2X5BYJKVKSYQQ,1.0,1,0
I once voted in local election ,A12S5JDG2D5HEW,2.0,2,0
I vote because it is my right.,A1FAQI8VXLAMBM,2.0,1,0
The race was won by President Trump.,A3P1QF00PF2DF9,1.0,2,1
I am watching this politician lie right now ,A16ZLWV0QUJP65,2.0,1,0
Joe Biden signed the stimulus bill.,AOJD8D9NXVAR3,1.0,1,0
Politics have become senseless.,A1ZLWV0QUJP65,2.0,2,1
Trump is the worst president of all time. ,AAL5LUI5U3NAV,1.0,1,0
I do not know much about my country politics. ,A1TK1M16KJJKEO,1.0,2,0
I went to the political rally,A79XOBCSS4NTG,1.0,1,0
Politics is difficult career.,A2O3IWIVOZD4S7,1.0,1,0
Politics are very controversial.,A2SVKAI2PNTS79,2.0,2,0
"The people voted for the President,",A2O3IWIVOZD4S7,1.0,1,0
The country was shown lot of problems with politics,A2VNR6984SDFGQ,1.0,2,1
The voters were important in deciding the election. ,A3CLBF224TRYC9,1.0,2,0
The man read about politics in his local newspaper.,A8TLS2F8LFQ68,1.0,1,0
Liberal politics are out of control. ,AIJPLVW0ULYTH,2.0,1,0
Most politicians seem to only be in it for themselves.,A3CX0LXFHZ6I3I,1.0,2,0
Getting involved in politics is easy.,A2LEBJWW395FST,1.0,1,0
The ballots were clearly marked on Election Day.,AFTSLCMJASJDR,1.0,2,1
He had no interest in politics,AA0EJ752F121Q,2.0,2,0
Politics often threatens family gatherings that would otherwise be fun.,A2VN0R4EGGV7KE,2.0,1,0
I went and voted today.,AJKA9BKC011F2,2.0,1,0
The politics pay big role.,A2X823PACMMOKP,1.0,1,0
The mayor in the politicians office was corrupted. ,ALG1XBLARJ545,1.0,2,1
The Republicans were defeated by the Democrats in the last US Presidential election.,A2SKOPFTRTNFUY,1.0,2,1
Citizens were impacted by the president choices.,A347NXF6NQGM5G,1.0,2,1
A person politics make up their personality.,AFRKVRPZ2RHY8,1.0,2,0
I am campaigning for cause that supports Republican Politics.,A2OZKKX2O0YTLD,2.0,1,0
Trump yelled at the heckler ,A240OTT1T85UGT,1.0,1,0
The family would have heated political arguments after dinner. ,A55E4CZQLYYO3,2.0,2,0
The debate tonight was heated ,A3QNSOORS63W0D,2.0,1,0
Politics requires suffering.,A63XZD0XGIMAI,1.0,1,0
There were not enough votes to elect him.,A2ONKY3JGB34T3,1.0,2,1
Joe Biden toured the country when he ran for President.,AOJD8D9NXVAR3,1.0,1,0
Politics ruins society.,A33B85TN97HQ33,1.0,1,0
Donald Trump got beat by Joe Biden in the 2020 Elections.,A3J72C0SIACZBS,1.0,2,1
An error was made in the tabulation of votes.,AW3PWVBIGPNAA,1.0,2,1
Politics are very complicated.,AC95JAUAM2L2Z,1.0,1,0
Abortion is sensitive topic for many people.,AFE7E450NETF2,1.0,2,0
I am into politics,AXR1QGU4KTMSZ,1.0,1,0
The politician was impeached for extreme corruption.,COPIEDAKHKMEPXX1YZ9,2.0,2,1
I don want to write anything about politics ,AOZBPO12UMPUY,1.0,1,0
Politics is in every workplace .,A1JSPB0XCFUUG1,2.0,1,0
The president was elected that night.,A2VAG94W4SK18C,1.0,2,1
Politics can be stressful to be involved in. ,A2GIT09BQEUM9M,,1,0
Politics are product of systems.,A162CO8K267FU8,1.0,2,0
I do not like Donal Trump.,A3S9ASZKIIJ3WF,2.0,1,0
Politics help society function.,A3JUAN2Y9XTK5L,2.0,1,0
I wish there had been different candidates running for President in the election.,A23FK9ROU01U4D,2.0,2,1
The nation is arguing over politics,A79XOBCSS4NTG,1.0,2,0
The president did not want to concede the ellection.,AU34Y1DWWQ47O,1.0,1,0
i liked politics,A2TWX0MB777CAB,2.0,2,0
Politics are slipper slope.,A1HYNGG8LZUV47,2.0,1,0
Politics never interested me growing up.,AQDBBBTN8NE9X,2.0,2,1
Politics would have to be considered.,A36G7I51D5O1M4,2.0,2,1
The President signed the bill into law today.,COPIEDAPV3GK8ZEXB0J,1.0,1,0
I avoid talking about politics.,A38LW34F26WBJY,1.0,1,0
My favorite candidate is Joe Biden,A35TZ4YGDSXSEC,1.0,1,0
The American people were misled by the government message.,A37CSK5QI41636,1.0,2,1
I feel like all they talk about is the politics on the news. ,ACIWLS3IQPV1J,2.0,1,0
My dad went to vote while I stayed in the car.,A1N274L13ZKKI5,1.0,2,0
Politics play major role in the formation of opinions.,A3NG205QJ48IM4,1.0,1,0
I did vote in the last election.,A2I6YPPQK6BU09,1.0,1,0
If I bring up politics at dinner I ll surely start fight.,A1H4MYPDJ2K3VI,2.0,1,0
Joe Biden was elected as the next president. ,A15B294KHVGPFV,1.0,2,1
I really hate Republican s,A3774HPOUKYTX7,1.0,1,0
Politics can be stressful topic.,ARTARDCXLJ5H6,2.0,2,0
The taxes are low for education.,A2RCUR9HJ9D0UQ,1.0,2,0
I spoke with my friend about the political race.,AO9AKYPPGGGZ4,2.0,1,0
I am so tired of politics,ADIW4L4IGU98R,1.0,1,0
Jane plays games in politics by running for office under an independent party name.,A34IZFOSHOZ4GN,1.0,1,0
I voted in the last election. ,A11ILN5YSUDVG8,1.0,1,0
A rally was held for Biden by the Democratic party before the election. ,A13CFYL1AW272Y,1.0,2,1
The state health department was affected negatively by the Governor vote to cut funding.,AAFM5PPF9P0W,1.0,2,1
Bill Clinton slept with his intern Monika Lewinsky. ,A20P819KPQWCK0,1.0,1,0
Politics tends to go into one ear and out of the other.,A2OKJSKQFMCZTP,1.0,2,0
The new mayor seems to not know anything about politics.,AM0FRMVODTMXA,1.0,1,0
I enjoy watching politics on tv. ,A2WSYQ5TS09U1,1.0,1,0
Marisha votes for the Democratic Party. ,A1FAQI8VXLAMBM,2.0,1,0
Politics are always on the television.,A3C9B757QTE20C,2.0,1,0
Politics can be complicated,AK70USZXEJSF3,2.0,2,0
I very active in politics.,A3BWZ6V34W8SXX,2.0,1,0
People often talk about how political discourse was more civil in the past. ,A3U6RDG7BLH6YZ,2.0,1,0
Some politicians are not to be trusted.,A2HUWXLMG214BI,2.0,2,1
The mayor was satisfied with the voters opinion.,A16DIQCMNWPBAN,2.0,2,0
It is nice to see president that has morals ,A357ADRGNGMMKC,1.0,1,0
How much do you enjoy reading about politics ,A3V2HVY764HJS4,2.0,1,0
Politics is the biggest debate in America ,A2W5PAZJG6X8Q8,2.0,2,0
In politics senators make huge salaries.,A118RTS8BOFIH7,1.0,1,0
The election was lost by the Republican.,A31CNXHGR49DJR,1.0,2,1
Politics can cumbersome,A3OM2ZQ7FUDTIN,1.0,1,0
Politics have ruined this country.,A3PSV85ZUXP9VF,2.0,2,0
Last year i voted for man with orange hair,A3G11HOZ5PCWOH,2.0,2,0
Politics is an exciting game to watch. ,A33ELVLU0NX9N9,1.0,1,0
The President sits at his desk.,A2W434UNNBRS4L,1.0,2,0
I think what is happening in the world is wrong,A2EW08X2I87RXL,2.0,1,0
Misleading statements were made during the debate.,AHTWQSOY6HTJI,1.0,2,1
I hated that politics class.,A16Y5JEB1EF9CY,1.0,2,0
I think politics are overrated.,A3M0L33TPD346S,2.0,2,0
The president enacted some controversial policies.,AY4KZOUEZ8BAM,1.0,1,0
Politics pays havoc with people mind.,A14Z1JSAR9JEON,1.0,2,0
Politics is very important issue in our country.,A3M2Q7EZCJ85GE,2.0,2,0
I think I know lot about politics.,A36W1PIV68AE5K,2.0,2,0
I will change people opinion about racial rights.,ANR81FZBHHR0F,1.0,1,0
Politics are not often discussed in the workplace.,A2UOOBZQ5L2EL1,2.0,2,1
Politics are currently all anyone talks about at work.,j2wj0096lt,2.0,1,0
I love how the polling is going ,A3NUGUAMBKYMZY,1.0,1,0
Politics runs the world.,A33TBDS0UALKW2,1.0,1,0
The incumbent senator was defeated by the challenger.,A2BT7QVGXJKFKI,1.0,2,1
"John was just elected mayor of our town, something he has always wanted to be.",A39J8MSTUDVH0D,1.0,1,1
Politicians should not tweet about politics.,A15X9KAJB8M54B,2.0,2,0
politics is the bane of existence.,A1CRE2Z623JZ6V,2.0,1,0
The senator approval ratings had sunken since voting for the crime bill.,A3H8A6SSZH6MQQ,2.0,2,1
Politics was not topuc of conversation.,A2137K4XEU12TI,1.0,2,0
The mayor decides to run for office another year after successful year in politics.,AMFIHFK9N0OVK,2.0,1,0
I closely follow politics.,A1JAWNX4R60ZZ0,1.0,1,0
I voted for the President.,A1MPJYJCUAOFOB,1.0,1,0
I heard many things about politics.,A3HT6YYXPBRKN3,2.0,2,0
I believe politicians will not lead our country in the right direction.,A3V9UGWBPDRFSG,1.0,1,0
The preident does not like politics when there devicive.,A1ZJ3TU4QJIKLY,2.0,2,0
Politics is definitely very sensitive topic in this society.,A129LL7SYP8EOE,2.0,1,0
The vote certification was delayed several hours due to an attack on Congress.,A2VUF0V7HT51Q3,1.0,2,1
In the past I was not very interested in politics.,A3IB7YJHP04OHI,2.0,2,0
The president is calling staff meeting.,A13DHPKBQXN9R7,2.0,1,0
I do not follow politics.,A1B3K5W6NZ03U2,1.0,1,0
The political ad was placed by Cathy.,A29KJK7GPUF3OT,1.0,2,1
The politician scheduled his week-long campaign.,A26A77APE2SUR5,2.0,2,0
Politics makes people crazy ,A8BSFVAPZBIUS ,1.0,1,0
I am going to be running for office during the next election. ,A1ADRYNCJIRFOO,1.0,1,0
The election was won by the oldest candidate.,A1PAN54I7HWSZI,1.0,2,1
 Effective campaigning is paramount to winning.,AS8JG1LSWTMGY,2.0,2,0
Politics are not for the soft hearted.,A25D8WXH1F4CG9,1.0,1,0
People in politics lie all the time.,A1TK1M16KJJKEO,1.0,2,0
George studied politics in college for his major.,A1282WX3YWXM6E,2.0,1,0
I VOTED IN THE LAST ELECTION,A3SUUPLFBSG1T9,1.0,1,0
Politics was used by student body.,A2T6EBB0Z6TQZS  ,1.0,2,1
The nation is now calm after our new president has arrived.,A3G1X3IP2VM4IK,2.0,2,0
The Senator was begging for votes.,A1KRDCZ1YYBUIZ,1.0,1,0
We were in line with many Trump supporters. ,A1X84CLJ7N1PLZ,1.0,2,0
Politics can be disappointing subject.,A141B3S3ZLY8DI,2.0,2,0
The politics of it were getting messy.,A1BDJMFP24FBGL,1.0,1,0
the news told me about politics,A3F34OE3VQ7W0V,1.0,2,0
The Demomcrats conceded to the Republicans objections.,A2BQ5JORLYGZMV,2.0,2,0
The politicians are voting ,A3ONF400XL2Y9U,1.0,1,0
Politics have become too much to handle. ,A2HDZE2L9EX2SY,1.0,1,0
Trump was defeated,A2EY0J9LOPU3TU,1.0,2,1
American politics have become highly polarized.,A20SXG1DHDIDI7,1.0,1,0
My political voice was suppressed by public opinion ,A2Y81T0DIFJ866,1.0,2,1
Politics can be very complex to discuss ,A2MF4QDKE40KVN,1.0,1,0
who do you want to vote,A7Z6P6K85HX54,1.0,2,0
Politics are divisive topic.,A2PY9UB56M2PP2,1.0,1,0
Politics was once where Americans worked together to solve problems.,A2JUTTLDE5LGHH,1.0,2,0
I sometimes follow politics,A2F58OOW7K3DD2,1.0,1,0
Politics are all that he had to go on.,A1QW2XUJ7KZCV5,2.0,2,0
Some people just don understand. ,A3G3TIX6FEMN8R,2.0,2,0
The dog is barking at the mailman.,A2DDPSXH2X96RF,1.0,1,0
Politics are terrible right now,A2BZY06YRWGEDL,2.0,1,0
Poor decisions led to the loss by the candidate. ,A1C8FN01981A69,2.0,2,0
When will the next Congressmen run for office ,A2DU76P3SED4T6,2.0,1,0
I want to be more involed in Politics,AYSX5GNO640MZ,1.0,1,0
I voted at my local voting precinct.,A2R30HQXQN76IC,1.0,1,0
"The political process may move slowly, but eventually there are results.",AMDUEMZUK9GJC,1.0,1,0
The candidate is shown to have lied several times.,A2WS07SCLNP1GV,1.0,2,1
"If politics were not allowed in the news, there would be no news. ",A3V3LIPOU53GZQ,2.0,2,1
The Democrats won the election this year.,AQDA6OMC4W5V8,1.0,2,0
President Biden wins the election.,A1K3VCFF62LIO2,2.0,1,0
Many citizens passionately debate politics.,A2AFAWJX5LTUVN,2.0,1,0
When is Biden going to make speech in Atlanta ,AW8JVJQNLTXND,2.0,1,0
The candidate is likely to win.,A26ZENZ5G8AEGM,1.0,1,0
People are made fools due to some political leaders.,A3Q9H7A8J8GR01,1.0,2,1
The president was satisfied with the bill so he signed it. ,A2SULQE4M8C3CM,2.0,2,0
Politics changes the ways people understand each other.,A2LDDDJ4WBKB8Y,1.0,1,0
Politics can be tricky on either the democratic or the republican side.,A2VJ27EN5W4MU,1.0,2,0
They are following politics.,A1SBWRAOJBEFIM,1.0,1,0
THE POLITICS THIS DAYS ARE SO COMPLICATED.,A12JQZP4XVOABB,2.0,2,0
he hates politics,AE5138F868GYB,1.0,1,0
Politics can sometimes help person reason.,AY2L2CZ6OKNEA,2.0,1,0
The disease was released by the President.,A2S7LNJG767XIU,1.0,2,1
Donald Trump frequently engages in politics with other political figures.,A370S3V5OUNP4E,1.0,1,0
He is going to run in the next election.,A2ZKKOPPN3AX2G,1.0,2,0
The politics of it are confusing.,AH7I3K3OJKA5L,2.0,1,0
Republicans and Democrats are opposed to one another.,A5BCSSPC180AG,2.0,2,0
Politics in the country suck ,A1TO9C7AZND1VO,1.0,1,0
That what became of the voters.,AE0C5U5HZ7WR9,2.0,2,0
I am moderate when it comes to politics.,A1D4RC6K6Y5KAV,2.0,1,0
I identify as Republican.,A345TDMHP3DQ3G,1.0,1,0
The position was removed from office,A1U5UPSCURNRAA,2.0,2,1
Politics is very relevant topic in the world today.,A18UTX5FD7NPRV,2.0,1,0
Voters were discouraged to gather at the polls.,A3T79IEUFBB473,2.0,2,1
The brothers argued over who they would vote for in the election.,A3HKD5JYXYBK5Q,1.0,1,0
I am over the politics.,A3MSMV01T3S53S,2.0,1,0
The election was very unfair.,A2JAE9P7FQXU2T,2.0,2,0
Politics makes me so upset ,A23K77HMD9APAJ,1.0,1,0
I avoid speaking about Politics while at work. ,A322UHGPRL2UWO,2.0,1,0
My political views were not recognized.,A1EDKVYT9ZCGUH,2.0,2,1
I will run for political office one day.,A3CX8S6Q0QEW8E,1.0,1,0
My mom was already aware of the current politics.,AYX9OCFWBM939,2.0,2,0
They battled about immigration in the debate last night.,A1HNB2243A2PQH,2.0,2,0
Her use of politics had been tricky to understanding in the meeting.,A1Y38T7IZWJQAE,2.0,2,0
The sports being gambled on were very fast paced.,A3ATU3VULAB7K2,2.0,2,1
Sports is an entertaining activity.,A1CTJ8UT7SF317,1.0,1,0
I do not enjoy sports.,A327Q0Y175MEH7,1.0,1,0
The basketball team was driven home in bus.,A19TD2J8506A4Y,1.0,2,1
I play basketball on the weekends.,A2DDXYTEVDV5F5,1.0,1,0
I wish the Lakers would win.,AJ9O2ZA0E8UDZ,2.0,2,0
Our pitcher throws 150km h.,AYXXMHLZRAPF9,1.0,1,0
I feel that sports are gateway to high fitness.,A3M0L33TPD346S,1.0,1,0
Sports were enjoyed by the fans.,A33GB614ST7J82,1.0,2,1
The football player scored touchdown., COPIEDAKHKMEPXX1YZ9,2.0,1,0
The quarterback caught the ball.,A23273YME4RCEB,1.0,1,0
Sports was the activity she enjoyed the most.,A3O4WYGKH31OX,1.0,2,0
Football is the sport I played in high school.,A3NLSGHK6RFXA8,1.0,2,0
Bob watched sports all day on TV.,AOJF7CPZVK5U3,1.0,1,0
Soccer was played by millions last year.,A154ZJKRSX6847,1.0,2,1
Sports are watched for entertainment purposes by the masses.,A3FXVNZ5VG98IP,1.0,2,1
My niece participates in various sports in school.,AYXN53TNFG71P,1.0,1,0
The ball was hit out of bounds.,AMUKX1DM4ASA7,1.0,2,1
The soccer game is alot of fun.,AFE7E450NETF2,1.0,1,0
SPORTS DRIVE EVERYONE CRAZY. ,A2DLZ9PK82J8L2,1.0,1,0
Sports seem boring to me. ,ARON01UO1YK7I,2.0,2,0
Gymnastics is one of the sports I like watching. ,A3RNGN5WLE1OBU,1.0,1,1
The player had hit the ball so far.,A1ZZETG57T5D5X,2.0,2,0
Sports are entertaining to watch,A2Z75NJBZ46RE9,1.0,1,0
All sports were halted during the pandemic.,A1CI5U3BLQ2DDS,1.0,2,1
 The government canceled all sports during the pandemic. ,A1CI5U3BLQ2DDS ,1.0,1,0
I love hitting the baseball. ,ATSNZCC16HIOI,1.0,1,0
I like watching sports on television ,A1SWGSFIMZJQE,2.0,2,0
Sports can help pass the time. ,A33UZLF8WW0DV1,2.0,2,0
Tiger Woods will not be playing golf due to his automobile accident.,A39GP79ULCP9J2,1.0,1,0
Sports is entertaining.,A2X5BYJKVKSYQQ,1.0,1,0
Sometimes sports games can seem little long.,A12S5JDG2D5HEW,2.0,2,0
I kick the soccer ball to Sam.,A1FAQI8VXLAMBM,2.0,1,0
The baseball game was playing on the TV.,A3P1QF00PF2DF9,1.0,2,0
The quarterback is being tackled before the throw.,A16ZLWV0QUJP65,2.0,1,1
The first-ranked tennis player won Wimbledon.,AOJD8D9NXVAR3,1.0,1,0
Sports channel was great last weekend,A1ZLWV0QUJP65,2.0,2,0
Candace is the fastest runner in her class. ,AAL5LUI5U3NAV,1.0,1,0
He plays on many sports teams. ,A1TK1M16KJJKEO,1.0,2,0
I played lot of sports,A79XOBCSS4NTG,1.0,1,0
Many people enjoy sports.,A2O3IWIVOZD4S7,1.0,1,0
Sports are extremely fun to play when one is competitive.,A2SVKAI2PNTS79,2.0,2,0
Sports are popular with kids.,A2O3IWIVOZD4S7,1.0,1,0
The sports hero was known for his homerun streak.,A2VNR6984SDFGQ,1.0,2,1
He was one of the best players on the court. ,A3CLBF224TRYC9,1.0,2,0
The children played various sports on the playground.,A8TLS2F8LFQ68,1.0,1,0
Sports are keeping you healthy.,AIJPLVW0ULYTH,2.0,1,0
i not truly fan of football.,A3CX0LXFHZ6I3I,1.0,2,0
I playing sports more and more lately.,A2LEBJWW395FST,1.0,1,0
The football glided across the field.,AFTSLCMJASJDR,1.0,2,0
Sports are important to him.,AA0EJ752F121Q,2.0,2,0
The cyclist pedaled quickly away from his challengers.,A2VN0R4EGGV7KE,2.0,1,0
I played volleyball yesterday.,AJKA9BKC011F2,2.0,1,0
All sports has been cancelled due to the pandemic. ,A2X823PACMMOKP,1.0,1,1
The sports station will be cleaned by me.,ALG1XBLARJ545,1.0,2,1
