Sentence,ID,Test,Cond,human_coding
Science tells us things about our world. ,A33ELVLU0NX9N9,1.0,1,0
The laboratory is filled with chemicals.,A2W434UNNBRS4L,1.0,2,0
what is happening in the world right now is science,A2EW08X2I87RXL,2.0,1,0
False findings were presented at the conference. ,AHTWQSOY6HTJI,1.0,2,1
"When I used to take biology, I enjoyed it.",A16Y5JEB1EF9CY,1.0,2,0
I think science is interesting.,A3M0L33TPD346S,2.0,2,0
The biologist fought with the psychologist about the results of the other.,AY4KZOUEZ8BAM,1.0,1,0
Science is the main driver of advancement.,A14Z1JSAR9JEON,1.0,2,0
Science use to be my favorite subject ,A3M2Q7EZCJ85GE,2.0,2,0
I watched man on about science experiments. ,A36W1PIV68AE5K,2.0,2,0
I wish I could investigate more on volcanoes.,ANR81FZBHHR0F,1.0,1,0
Science was not taken into consideration during the discussion.,A2UOOBZQ5L2EL1,2.0,2,1
Science is the favorite subject of my entire class.,j2wj0096lt,2.0,1,0
now we can blow it up ,A3NUGUAMBKYMZY,1.0,1,0
Science is making the world better place.,A33TBDS0UALKW2,1.0,1,0
The biology experiment was approved by the committee.,A2BT7QVGXJKFKI,1.0,2,1
Science is Matt favorite subject he loves solving problems,A39J8MSTUDVH0D,1.0,1,0
Science has discovered the cell cycle is influenced by many things.,A15X9KAJB8M54B,2.0,2,1
science is evolving continuously.,A1CRE2Z623JZ6V,2.0,1,0
The water was heated to boiling point.,A3H8A6SSZH6MQQ,2.0,2,1
science has been given more recognition after covid.,A2137K4XEU12TI,1.0,2,1
Students perform experiments as part of learning about the subject of science.,AMFIHFK9N0OVK,2.0,1,0
It is important to study science.,A1JAWNX4R60ZZ0,1.0,1,0
Flowers produce nectar to attract insects.,A1MPJYJCUAOFOB,1.0,1,0
I heard science was important.,A3HT6YYXPBRKN3,2.0,2,0
I love learning about medical technology advances.,A3V9UGWBPDRFSG,1.0,1,0
The scientest was satisfied with his colegues anatomy esay.,A1ZJ3TU4QJIKLY,2.0,2,0
Science is very difficult to some people.,A129LL7SYP8EOE,2.0,1,0
The experiment was conducted over period of six months.,A2VUF0V7HT51Q3,1.0,2,1
I wish I had studied science in school.,A3IB7YJHP04OHI,2.0,2,0
The lab tech is working late.,A13DHPKBQXN9R7,2.0,1,0
I like to read about science.,A1B3K5W6NZ03U2,1.0,1,0
The theory was proven by scientist.,A29KJK7GPUF3OT,1.0,2,1
The frog was dissected for exploration.,A26A77APE2SUR5,2.0,2,1
Science blows that theory out of the water.,A8BSFVAPZBIUS ,1.0,1,0
I am going to do crazy experiment in chemistry.,A1ADRYNCJIRFOO,1.0,1,0
The experiment was completed by the team with the largest monetary grant.,A1PAN54I7HWSZI,1.0,2,1
Science knowledge has grown exponentially in the last decade. ,AS8JG1LSWTMGY,2.0,2,0
Science and politics make strange bedfellows.,A25D8WXH1F4CG9,1.0,1,0
Many people think science is the most important part of evolution. ,A1TK1M16KJJKEO,1.0,2,0
Ralph enjoyed teaching science in his classroom.,A1282WX3YWXM6E,2.0,1,0
VIROLOGY IS THE STUDY OF VIRUSES,A3SUUPLFBSG1T9,1.0,1,0
Science was neglected.,A2T6EBB0Z6TQZS  ,1.0,2,1
The girl quickly cleaned up the mess she made after combining chemicals in the test tube.,A3G1X3IP2VM4IK,2.0,2,0
The scientist measured the chemicals for the experiment.,A1KRDCZ1YYBUIZ,1.0,1,0
We were studying physics. ,A1X84CLJ7N1PLZ,1.0,2,0
Science is about observation.,A141B3S3ZLY8DI,2.0,2,0
The science was sound and well reasoned.,A1BDJMFP24FBGL,1.0,1,0
the kids learned science at school,A3F34OE3VQ7W0V,1.0,2,0
The scientists were made to reschedule their rocket launch.,A2BQ5JORLYGZMV,2.0,2,1
The science is evolving ,A3ONF400XL2Y9U,1.0,1,0
Science is the truth.,A2HDZE2L9EX2SY,1.0,1,0
it was called science matter,A2EY0J9LOPU3TU,1.0,2,0
Science is always evolving with new information.,A20SXG1DHDIDI7,1.0,1,0
Science was denied in the national news,A2Y81T0DIFJ866,1.0,2,1
Science can be difficult topic to discuss ,A2MF4QDKE40KVN,1.0,1,0
I hate science,A7Z6P6K85HX54,1.0,2,0
Science is my son favorite subject.,A2PY9UB56M2PP2,1.0,1,0
Science is our salvation. ,A2JUTTLDE5LGHH,1.0,2,0
I read about latest developments in science,A2F58OOW7K3DD2,1.0,1,0
Science was her second choice after she realized she didn qualify for the Arts program.,A1QW2XUJ7KZCV5,2.0,2,0
You forgot about the assignment. ,A3G3TIX6FEMN8R,2.0,2,0
I am baking chocolate cake this evening.,A2DDPSXH2X96RF,1.0,1,0
Science is doing wonders right now,A2BZY06YRWGEDL,2.0,1,0
Discoveries were made in the Chemistry laboratory. ,A1C8FN01981A69,2.0,2,1
When will everyone have chance to get COVID-19 vaccine ,A2DU76P3SED4T6,2.0,1,0
Science helps me discover other planets.,AYSX5GNO640MZ,1.0,1,0
Stephen poured one chemical into another with small poof of smoke.,A2R30HQXQN76IC,1.0,1,0
The scientist was excited by her new discovery.,AMDUEMZUK9GJC,1.0,1,1
The experiment had been repeated by other labs.,A2WS07SCLNP1GV,1.0,2,1
In science we were asked to build model volcano. ,A3V3LIPOU53GZQ,2.0,2,1
I don really know much about science.,AQDA6OMC4W5V8,1.0,2,0
Sam is going to take the science exam.,A1K3VCFF62LIO2,2.0,1,0
We need to follow the science to get through this pandemic.,A2AFAWJX5LTUVN,2.0,1,0
The new trial for the vaccine will begin today. ,AW8JVJQNLTXND,2.0,1,0
Science is an important subject in school.,A26ZENZ5G8AEGM,1.0,1,0
Lot of benefits are provided by science.,A3Q9H7A8J8GR01,1.0,2,1
The science experiment illustrated how water freezes. ,A2SULQE4M8C3CM,2.0,2,0
Science creates new knowledge we use to shape our world.,A2LDDDJ4WBKB8Y,1.0,1,0
We can learn lot about COVID-19 from science and research.,A2VJ27EN5W4MU,1.0,2,0
Children learn science.,A1SBWRAOJBEFIM,1.0,1,0
SCIENCE IS FUNDAMENTAL OF PHYSICS.,A12JQZP4XVOABB,2.0,2,0
I was good in Science.,AE5138F868GYB,1.0,1,0
Science has contributed to many advances in beauty.,AY2L2CZ6OKNEA,2.0,1,0
The monkey was studied by Scientist name Jack.,A2S7LNJG767XIU,1.0,2,1
"Science, specifically biology, interests Kiera the most in school. ",A370S3V5OUNP4E,1.0,1,0
He was going to ask about climate change.,A2ZKKOPPN3AX2G,1.0,2,0
There is science to what will happen.,AH7I3K3OJKA5L,2.0,1,0
Scientists love facts.,A5BCSSPC180AG,2.0,2,0
Science is popular subject to take in college.,A1TO9C7AZND1VO,1.0,1,0
Who knows if it science or fiction ,AE0C5U5HZ7WR9,2.0,2,0
It is Science that is curing the nation from the Covid virus.,A1D4RC6K6Y5KAV,2.0,1,0
I hate studying science.,A345TDMHP3DQ3G,1.0,1,0
Science has been my worst subject ,A1U5UPSCURNRAA,2.0,2,0
Science is very big topic lately.,A18UTX5FD7NPRV,2.0,1,0
Discoveries in physic were lagging from past years.,A3T79IEUFBB473,2.0,2,0
Plants make nutrients with their leaves and roots.,A3HKD5JYXYBK5Q,1.0,1,0
Science is interesting.,A3MSMV01T3S53S,2.0,1,0
The science was manipulated to make the people wear masks.,A2JAE9P7FQXU2T,2.0,2,1
I love how complex science is ,A23K77HMD9APAJ,1.0,1,0
Science divides into many different sub-categories. ,A322UHGPRL2UWO,2.0,1,0
My hypothesis was not recognized.,A1EDKVYT9ZCGUH,2.0,2,1
I wish I could use the microscope.,A3CX8S6Q0QEW8E,1.0,1,0
The teacher was completed the science fair.,AYX9OCFWBM939,2.0,2,0
They had found some evidence of rashes in the vaccine.,A1HNB2243A2PQH,2.0,2,0
Science has been an essential component of recovery from the global pandemic.,A1Y38T7IZWJQAE,2.0,2,0
The culture was being appropriated.,A3ATU3VULAB7K2,2.0,2,1
The culture is delightful to me.,A1CTJ8UT7SF317,1.0,1,0
I would love to learn about different culture ,A327Q0Y175MEH7,1.0,1,0
Thanksgiving dinner was eaten at home.,A19TD2J8506A4Y,1.0,2,1
Americans enjoy barbecuing on July 4th. ,A2DDXYTEVDV5F5,1.0,1,0
I wish I could see them during the ceremony.,AJ9O2ZA0E8UDZ,2.0,2,0
I learning new language.,AYXXMHLZRAPF9,1.0,1,0
I feel culture is imperative to style.,A3M0L33TPD346S,1.0,1,0
The people were shaped by culture.,A33GB614ST7J82,1.0,2,1
Young people these days are on their phones constantly., COPIEDAKHKMEPXX1YZ9,2.0,1,0
"The Cherokee tribal traditions include language, spirituality, food, storytelling, and art.",A23273YME4RCEB,1.0,1,0
Culture was taught at school.,A3O4WYGKH31OX,1.0,2,1
"As for culture, they clearly had none.",A3NLSGHK6RFXA8,1.0,2,0
The museum exhibit will make us question reality. ,AOJF7CPZVK5U3,1.0,1,0
Culture was common study topic.,A154ZJKRSX6847,1.0,2,0
Culture is passed down through generations of people.,A3FXVNZ5VG98IP,1.0,2,1
I am very surprised at all of the Cancel Culture initiaves.,AYXN53TNFG71P,1.0,1,0
The magazine was delivered to her house. ,AMUKX1DM4ASA7,1.0,2,1
Japanese culture thrives on an honorable set of values.,AFE7E450NETF2,1.0,1,0
EVERYONE IS MOLDED BY CULTURE. ,A2DLZ9PK82J8L2,1.0,1,1
Culture is an ideology. ,ARON01UO1YK7I,2.0,2,0
I enjoy culture activities such as dance and plays.,A3RNGN5WLE1OBU,1.0,1,0
The room is filled with lot of diversity.,A1ZZETG57T5D5X,2.0,2,0
Culture enriches our lives,A2Z75NJBZ46RE9,1.0,1,0
Roman culture was destroyed by the barbarians.,A1CI5U3BLQ2DDS,1.0,2,1
Culture enlivens our lives.,A1CI5U3BLQ2DDS ,1.0,1,0
The museum attendees gawked at the Egyptian tombs. ,ATSNZCC16HIOI,1.0,1,0
I will influence the culture ,A1SWGSFIMZJQE,2.0,2,0
Cultures are different all over the world. ,A33UZLF8WW0DV1,2.0,2,0
The Scandinavian Heritage festival takes place on Memorial Day weekend.,A39GP79ULCP9J2,1.0,1,0
The culture was toxic.,A2X5BYJKVKSYQQ,1.0,1,0
I always wondered what is American culture. ,A12S5JDG2D5HEW,2.0,2,0
Some cultures bow to each other in greeting.,A1FAQI8VXLAMBM,2.0,1,0
Our culture has been overtaken by political correctness.,A3P1QF00PF2DF9,1.0,2,1
This concert is filled with cultural experience.,A16ZLWV0QUJP65,2.0,1,0
I went to the museum to learn about Japanese art culture.,AOJD8D9NXVAR3,1.0,1,0
Back in the day culture was important.,A1ZLWV0QUJP65,2.0,2,0
I learned lot about the African culture.,AAL5LUI5U3NAV,1.0,1,0
Her Irish culture shows when she get angry. ,A1TK1M16KJJKEO,1.0,2,0
I experience the country culture,A79XOBCSS4NTG,1.0,1,0
Culture is important to society.,A2O3IWIVOZD4S7,1.0,1,0
Culture is varied among the world.,A2SVKAI2PNTS79,2.0,2,0
Culture is the way we understand our society.,A2O3IWIVOZD4S7,1.0,1,0
The culture had been known.,A2VNR6984SDFGQ,1.0,2,1
They were from different country. ,A3CLBF224TRYC9,1.0,2,0
I enjoy engaging in cultures other than my own.,A8TLS2F8LFQ68,1.0,1,0
Our culture is changing with each generation. ,AIJPLVW0ULYTH,2.0,1,0
i wondering if the culture within our organization is safe.,A3CX0LXFHZ6I3I,1.0,2,0
My culture is part of who I am. ,A2LEBJWW395FST,1.0,1,0
The changing culture has had negative effect on society.,AFTSLCMJASJDR,1.0,2,0
The culture was different than she expected,AA0EJ752F121Q,2.0,2,0
The company embraces culture of diversity.,A2VN0R4EGGV7KE,2.0,1,0
We learned about the Chinese culture when we were there.,AJKA9BKC011F2,2.0,1,0
My culture is disappearing fast.,A2X823PACMMOKP,1.0,1,0
The people in the Indian culture were running. ,ALG1XBLARJ545,1.0,2,0
The island culture was judged as being primitive.,A2SKOPFTRTNFUY,1.0,2,1
Thanksgiving is celebrated by Americans.,A347NXF6NQGM5G,1.0,2,1
The culture of country is important,AFRKVRPZ2RHY8,1.0,2,0
I am immersing myself in my Latina Culture.,A2OZKKX2O0YTLD,2.0,1,0
They danced to their cultural music ,A240OTT1T85UGT,1.0,1,0
The town culture disappeared after the volcano eruption.,A55E4CZQLYYO3,2.0,2,0
The black lives matter movement is powerful.,A3QNSOORS63W0D,2.0,1,0
Culture enables understanding.,A63XZD0XGIMAI,1.0,1,0
People of different cultures were not represented in the meeting.,A2ONKY3JGB34T3,1.0,2,1
The painting had hints of Japanese culture to it.,AOJD8D9NXVAR3,1.0,1,0
Culture has very divisive nature.,A33B85TN97HQ33,1.0,1,0
Some songs are popularized by the movies that played them.,A3J72C0SIACZBS,1.0,2,1
Our culture has been corrupted.,AW3PWVBIGPNAA,1.0,2,1
Your culture comes from your community.,AC95JAUAM2L2Z,1.0,1,0
Culture is something people have in common.,AFE7E450NETF2,1.0,2,0
I am into culture,AXR1QGU4KTMSZ,1.0,1,0
Social media use is rampant among young people.,COPIEDAKHKMEPXX1YZ9,2.0,2,0
There is culture war going on in today society,AOZBPO12UMPUY,1.0,1,0
We need to preserve our culture.,A1JSPB0XCFUUG1,2.0,1,0
The award winner was nominated that night.,A2VAG94W4SK18C,1.0,2,1
Exploring different cultures can be quite fun. ,A2GIT09BQEUM9M,,1,0
Culture is learned. ,A162CO8K267FU8,1.0,2,1
I celebrate Christmas because I am catholic.,A3S9ASZKIIJ3WF,2.0,1,0
Culture brings sophistication to society.,A3JUAN2Y9XTK5L,2.0,1,0
The students had already studied the achievements of the country.,A23FK9ROU01U4D,2.0,2,0
The culture of that country is cool,A79XOBCSS4NTG,1.0,2,0
Italians love to eat pasta. ,AU34Y1DWWQ47O,1.0,1,0
the person is cultured,A2TWX0MB777CAB,2.0,2,0
Everyone is mean in this culture ,A1HYNGG8LZUV47,2.0,1,0
Egyptian culture was extremely weird.,AQDBBBTN8NE9X,2.0,2,0
Culture has been overlooked in many areas.,A36G7I51D5O1M4,2.0,2,1
Culture requires different points of view.,COPIEDAPV3GK8ZEXB0J,1.0,1,0
I know lot about culture.,A38LW34F26WBJY,1.0,1,0
I love my ethnic culture.,A35TZ4YGDSXSEC,1.0,1,0
The art was well-received by the audience.,A37CSK5QI41636,1.0,2,1
I feel everyone gets offended by someone relating to their culture. ,ACIWLS3IQPV1J,2.0,1,1
I watched Euphoria in the background while doing my homework.,A1N274L13ZKKI5,1.0,2,0
His Haitian culture is extremely important to him.,A3NG205QJ48IM4,1.0,1,0
Celebrity culture is overrated.,A2I6YPPQK6BU09,1.0,1,0
Cancel culture is dangerous to society. ,A1H4MYPDJ2K3VI,2.0,1,0
The Maori was happy to perform the hakka dance. ,A15B294KHVGPFV,1.0,2,0
I love your hair style ,A3774HPOUKYTX7,1.0,1,0
We are studying about culture in school this week.,ARTARDCXLJ5H6,2.0,2,0
The art museum is nice.,A2RCUR9HJ9D0UQ,1.0,2,0
John loved learning about Asian culture.,AO9AKYPPGGGZ4,2.0,1,0
I am going to chair the culture committee,ADIW4L4IGU98R,1.0,1,0
I participate in my culture of celebrating St. Patrick Day.,A34IZFOSHOZ4GN,1.0,1,0
Tom toured the new museum. ,A11ILN5YSUDVG8,1.0,1,0
Ben family was not very accepting of the cultural differences presented by his new girlfriend.,A13CFYL1AW272Y,1.0,2,0
The American was impressed by the vibrant Colombian culture.,AAFM5PPF9P0W,1.0,2,1
Cancel culture toxic. ,A20P819KPQWCK0,1.0,1,0
Culture is about the people more so than the traditions.,A2OKJSKQFMCZTP,1.0,2,0
I wish i had asked more questions to my grandmother about our culture.,AM0FRMVODTMXA,1.0,1,0
I am going the Culture fair today. ,A2WSYQ5TS09U1,1.0,1,0
I bow when greeting my elders. ,A1FAQI8VXLAMBM,2.0,1,0
My culture tells me about where I am from.,A3C9B757QTE20C,2.0,1,0
Culture can mean lot to people.,AK70USZXEJSF3,2.0,2,0
I love to integrate myself in other cultures.,A3BWZ6V34W8SXX,2.0,1,0
"Comic book art used to be looked down upon, but it is now seen as viable art form. ",A3U6RDG7BLH6YZ,2.0,1,1
My thoughts about today culture isn popular.,A2HUWXLMG214BI,2.0,2,0
The father was proud oh his sons eagerness to learn their native language.,A16DIQCMNWPBAN,2.0,2,0
I want to see the new African Art exhibit and the museum. ,A357ADRGNGMMKC,1.0,1,0
Their culture is very colorful.,A3V2HVY764HJS4,2.0,1,0
Many cultures are appropriated by white people ,A2W5PAZJG6X8Q8,2.0,2,1
"In culture many people enjoy their food, dance, and customs of their ancestors. ",A118RTS8BOFIH7,1.0,1,0
The movie was made hit by the actors.,A31CNXHGR49DJR,1.0,2,1
Culture is passed down,A3OM2ZQ7FUDTIN,1.0,1,1
"The society had such rich culture, there was much to learn of them.",A3PSV85ZUXP9VF,2.0,2,0
I did not know about the sneaker culture around my school. ,A3G11HOZ5PCWOH,2.0,2,0
Culture is the way we know how to act in public. ,A33ELVLU0NX9N9,1.0,1,0
The Aztecs ruled Mesoamerica.,A2W434UNNBRS4L,1.0,2,0
there is cultural difference beet week different people,A2EW08X2I87RXL,2.0,1,0
The gallery opening was attended by many important figures.,AHTWQSOY6HTJI,1.0,2,1
"When we went to Puerto Rico, the culture was beautiful.",A16Y5JEB1EF9CY,1.0,2,0
"Culture is best ignored, maybe.",A3M0L33TPD346S,2.0,2,1
My favorite celebrity spoke out against racism last week.,AY4KZOUEZ8BAM,1.0,1,0
Culture both divides and unites people.,A14Z1JSAR9JEON,1.0,2,0
"Cultures, comes in many color shapes and sizes.",A3M2Q7EZCJ85GE,2.0,2,0
We need to do more about different culture.,A36W1PIV68AE5K,2.0,2,0
I eat Kimchi since it is part of my Korean culture.,ANR81FZBHHR0F,1.0,1,0
The girls culture was forgotten about.,A2UOOBZQ5L2EL1,2.0,2,1
Our differences in culture is perhaps what I find most interesting.,j2wj0096lt,2.0,1,0
I love how this cuisine tastes ,A3NUGUAMBKYMZY,1.0,1,0
Culture makes up our characters.,A33TBDS0UALKW2,1.0,1,0
The weekend was improved by the opening of the museum.,A2BT7QVGXJKFKI,1.0,2,1
Jill studies modern art at the local college.,A39J8MSTUDVH0D,1.0,1,0
Culture is the core of our society.,A15X9KAJB8M54B,2.0,2,0
The woke culture is hilarious.,A1CRE2Z623JZ6V,2.0,1,0
Television has become more diverse in 2020.,A3H8A6SSZH6MQQ,2.0,2,0
Culture was the main drive of the museum visit.,A2137K4XEU12TI,1.0,2,0
Having an expressive personality is part of LGBTQ culture.,AMFIHFK9N0OVK,2.0,1,0
I love studying different cultures.,A1JAWNX4R60ZZ0,1.0,1,0
I celebrate Christmas with my family.,A1MPJYJCUAOFOB,1.0,1,0
I hear very little about culture.,A3HT6YYXPBRKN3,2.0,2,0
My culture needs to work together to improve so that we can acheive.,A3V9UGWBPDRFSG,1.0,1,0
careers revolve around persons culture.,A1ZJ3TU4QJIKLY,2.0,2,0
learning about different cultures is interesting.,A129LL7SYP8EOE,2.0,1,0
Cultural studies will always be considered an important part of liberal arts education.,A2VUF0V7HT51Q3,1.0,2,1
I did not check on anything about my culture.,A3IB7YJHP04OHI,2.0,2,0
I love to learn about different cultures.,A13DHPKBQXN9R7,2.0,1,0
I do not know much about pop culture.,A1B3K5W6NZ03U2,1.0,1,0
"The movie was watched by 3,000 people.",A29KJK7GPUF3OT,1.0,2,1
The festival is scheduled for next week.,A26A77APE2SUR5,2.0,2,1
The work culture at Google is very relaxed.,A8BSFVAPZBIUS ,1.0,1,0
I want to know how to make sushi ,A1ADRYNCJIRFOO,1.0,1,0
The traditional dance was performed by the women in the group.,A1PAN54I7HWSZI,1.0,2,1
The culture is changing at breakneck speed ,AS8JG1LSWTMGY,2.0,2,0
Great Britain culture is overdue for change.,A25D8WXH1F4CG9,1.0,1,0
My culture revolves around my Italian upbringing. ,A1TK1M16KJJKEO,1.0,2,0
Leah loved to learn of her culture as time went on.,A1282WX3YWXM6E,2.0,1,0
CONCERTS ARE A FUN THING TO DO ON THE WEEKENDS,A3SUUPLFBSG1T9,1.0,1,0
Culture was changed by altering the story.,A2T6EBB0Z6TQZS  ,1.0,2,1
The young girls sighed as they were tired from dancing on Tik Tok. ,A3G1X3IP2VM4IK,2.0,2,0
Her culture was known to celebrate on that day.,A1KRDCZ1YYBUIZ,1.0,1,1
We were interested in the Asian exhibits. ,A1X84CLJ7N1PLZ,1.0,2,0
Choose your culture wisely.,A141B3S3ZLY8DI,2.0,2,0
